experiment,evidence_type,locality,baseline_policy,treatment_policy,n_reps,status,delta_ttft_p50_ms_mean,delta_ttft_p50_ms_ci95_low,delta_ttft_p50_ms_ci95_high,delta_ttft_p50_ms_median,delta_ttft_p50_ms_iqr,delta_ttft_p50_ms_fraction_below_zero,delta_ttft_p95_ms_mean,delta_ttft_p95_ms_ci95_low,delta_ttft_p95_ms_ci95_high,delta_ttft_p95_ms_median,delta_ttft_p95_ms_iqr,delta_ttft_p95_ms_fraction_below_zero,delta_latency_p95_ms_mean,delta_latency_p95_ms_ci95_low,delta_latency_p95_ms_ci95_high,delta_latency_p95_ms_median,delta_latency_p95_ms_iqr,delta_latency_p95_ms_fraction_below_zero,delta_observed_reuse_hit_rate_mean,delta_observed_reuse_hit_rate_ci95_low,delta_observed_reuse_hit_rate_ci95_high,delta_observed_reuse_hit_rate_median,delta_observed_reuse_hit_rate_iqr,delta_observed_reuse_hit_rate_fraction_below_zero
paired_t4_latency_replay_v3,live_t4_vllm,high,load_only,sketch_k8,20,Current,-0.434738849999999,-1.105034049999999,0.24391775000000138,-0.5119430000000023,1.6155710000000028,0.65,2.021588650000001,-0.8920709000000031,4.767419899999998,3.7079615000000103,7.953544999999991,0.35,217.98624545,211.34051965,224.2780553,221.43636249999997,21.146497000000068,0.0,0.0181640625,0.0115234375,0.025,0.017578125,0.01953125,0.1
paired_t4_latency_replay_v3,live_t4_vllm,high,load_only,sketch_k16,20,Current,-0.4907918999999993,-1.003916749999999,0.0020339500000019937,-0.6060790000000011,0.8038969999999992,0.75,3.6138626500000015,0.8416916499999985,6.378803099999999,2.766573000000008,9.159895000000006,0.35,221.5585095,213.17470120000002,230.87299815,221.97712299999998,28.626801000000057,0.0,0.0408203125,0.0337890625,0.0478515625,0.0390625,0.015625,0.0
paired_t4_latency_replay_v3,live_t4_vllm,high,load_only,exact,20,Current,-0.7563164499999988,-1.3967233000000001,-0.03237359999999825,-0.8702620000000003,2.0880950000000027,0.7,-8.213497899999997,-11.249999249999998,-5.088065149999996,-9.254280999999992,5.772580000000005,0.85,-12.56695975000001,-19.09322930000001,-6.057657500000016,-13.933421500000009,19.697671999999955,0.85,0.0513671875,0.0435546875,0.059375,0.046875,0.01953125,0.0
paired_t4_latency_replay_v3,live_t4_vllm,low,load_only,sketch_k8,20,Current,8.212129649999998,6.854847850000001,9.709838799999996,7.660563499999995,4.133194000000003,0.0,2.354569699999999,0.47223209999999083,4.245761649999994,2.6532855000000097,4.221787000000006,0.25,323.3865216,318.75255615000003,328.43308095000003,323.26053699999994,15.12998600000003,0.0,0.02421875,0.0177734375,0.0306640625,0.025390625,0.015625,0.05
paired_t4_latency_replay_v3,live_t4_vllm,low,load_only,sketch_k16,20,Current,8.3106923,6.333913600000004,10.221451599999998,6.758581500000005,6.622718999999989,0.0,2.609739550000003,-0.7462883000000033,5.656155799999999,4.118880499999989,8.305471000000011,0.35,328.8201381,320.8183212,337.07848375,325.67012449999993,29.284706999999912,0.0,0.0455078125,0.036328125,0.0546875,0.041015625,0.02734375,0.05
paired_t4_latency_replay_v3,live_t4_vllm,low,load_only,exact,20,Current,-3.588291000000001,-4.9537332,-2.285796000000006,-3.268889999999999,3.165561999999994,0.85,-10.873091550000003,-13.243526449999996,-8.612584950000016,-9.9395375,4.670524,0.95,-24.026045499999988,-28.08740239999999,-20.150867650000002,-24.761799999999994,14.103828999999905,1.0,0.1474609375,0.137109375,0.158203125,0.14453125,0.03515625,0.0
paired_t4_latency_replay_v3,live_t4_vllm,medium,load_only,sketch_k8,20,Current,6.919630499999998,5.82069615,7.976877199999996,7.351287499999998,4.106472999999966,0.0,3.215490750000005,-0.09867589999999211,6.812817300000008,3.573781000000025,7.483929000000046,0.3,261.27184865,237.76972245,278.93774905,266.35567749999996,32.80656299999987,0.0,0.023828125,0.014453125,0.033984375,0.021484375,0.02734375,0.15
paired_t4_latency_replay_v3,live_t4_vllm,medium,load_only,sketch_k16,20,Current,6.187884899999999,4.840424149999997,7.41849375,6.534102999999995,3.023228000000003,0.0,4.926043500000003,2.127599300000007,7.913745949999999,4.843307500000009,6.482710999999995,0.2,264.542631,239.639252,281.19869675,279.304141,18.58482200000003,0.0,0.061328125,0.0541015625,0.068359375,0.05859375,0.01953125,0.0
paired_t4_latency_replay_v3,live_t4_vllm,medium,load_only,exact,20,Current,-4.556474200000003,-6.171838700000006,-2.8364872000000005,-4.947255500000011,4.101433999999998,0.9,-11.784497949999999,-14.947141299999993,-8.430651649999996,-12.189124499999991,9.65965099999994,0.95,57.58116784999997,31.20375274999999,84.38522694999999,68.44050349999998,98.03338600000006,0.25,0.11953125,0.110546875,0.127734375,0.125,0.03515625,0.0
