experiment_id,experiment,evidence_type,locality,rep,baseline_policy,treatment_policy,workload_trace_hash,baseline_policy_order,treatment_policy_order,delta_ttft_p50_ms,delta_ttft_p95_ms,delta_latency_p95_ms,delta_observed_reuse_hit_rate,status
20260715_paired_latency_high_sketch_k16_rep6,paired_t4_latency_replay_v3,live_t4_vllm,high,6,load_only,sketch_k16,a5e48c92295bb875b89b86e7a0d4eed0da3679ae1cc7236e145b884dbb95e6a0,2,0,-0.08641599999999983,-2.4074139999999886,190.18816299999997,0.0625,Current
20260715_paired_latency_high_exact_rep6,paired_t4_latency_replay_v3,live_t4_vllm,high,6,load_only,exact,a5e48c92295bb875b89b86e7a0d4eed0da3679ae1cc7236e145b884dbb95e6a0,2,1,0.6059230000000042,-12.735917999999998,-18.995724000000052,0.05859375,Current
20260715_paired_latency_high_sketch_k8_rep7,paired_t4_latency_replay_v3,live_t4_vllm,high,7,load_only,sketch_k8,9aa50a61ae1492f5e6a1028545e3359dcac7310395946f2c5ee0d08e3a29f9c6,2,0,1.678522000000001,9.382739000000015,223.68224100000003,0.0234375,Current
20260715_paired_latency_high_sketch_k16_rep7,paired_t4_latency_replay_v3,live_t4_vllm,high,7,load_only,sketch_k16,9aa50a61ae1492f5e6a1028545e3359dcac7310395946f2c5ee0d08e3a29f9c6,2,1,-1.0596809999999977,7.924866000000009,221.048656,0.0390625,Current
20260715_paired_latency_high_exact_rep7,paired_t4_latency_replay_v3,live_t4_vllm,high,7,load_only,exact,9aa50a61ae1492f5e6a1028545e3359dcac7310395946f2c5ee0d08e3a29f9c6,2,3,0.6792170000000013,7.01255500000002,15.51978200000002,0.0546875,Current
20260715_paired_latency_high_sketch_k8_rep8,paired_t4_latency_replay_v3,live_t4_vllm,high,8,load_only,sketch_k8,6b7157718d99164838daf58b181aabe7548c23ac58005ccf99d26be4b70980e3,3,2,-2.207418000000004,-7.358998999999983,179.68091400000003,0.015625,Current
20260715_paired_latency_high_sketch_k16_rep8,paired_t4_latency_replay_v3,live_t4_vllm,high,8,load_only,sketch_k16,6b7157718d99164838daf58b181aabe7548c23ac58005ccf99d26be4b70980e3,3,1,-1.3640260000000026,-5.151777999999979,199.72074700000007,0.06640625,Current
20260715_paired_latency_high_exact_rep8,paired_t4_latency_replay_v3,live_t4_vllm,high,8,load_only,exact,6b7157718d99164838daf58b181aabe7548c23ac58005ccf99d26be4b70980e3,3,0,-1.9119280000000032,-10.658332999999999,-27.47817699999996,0.046875,Current
20260715_paired_latency_high_sketch_k8_rep9,paired_t4_latency_replay_v3,live_t4_vllm,high,9,load_only,sketch_k8,f803e8ae444abdb1dd2300a6381dd50f214a93c2ef4b1446fa3755ac5e2801db,3,2,-0.16676100000000105,-4.0057709999999815,206.11691099999996,0.02734375,Current
20260715_paired_latency_high_sketch_k16_rep9,paired_t4_latency_replay_v3,live_t4_vllm,high,9,load_only,sketch_k16,f803e8ae444abdb1dd2300a6381dd50f214a93c2ef4b1446fa3755ac5e2801db,3,0,-0.890312999999999,-2.592252000000002,213.904313,0.04296875,Current
20260715_paired_latency_high_exact_rep9,paired_t4_latency_replay_v3,live_t4_vllm,high,9,load_only,exact,f803e8ae444abdb1dd2300a6381dd50f214a93c2ef4b1446fa3755ac5e2801db,3,1,-1.1866800000000026,-6.550088999999986,-1.4825449999999591,0.078125,Current
20260715_paired_latency_high_sketch_k8_rep10,paired_t4_latency_replay_v3,live_t4_vllm,high,10,load_only,sketch_k8,eb91245a1f64b80fe448655ca7469c9c18e2d39938aa7bf8ac64c613d80fd301,1,3,2.9814130000000034,-7.894165000000015,216.48088300000006,0.01171875,Current
20260715_paired_latency_high_sketch_k16_rep10,paired_t4_latency_replay_v3,live_t4_vllm,high,10,load_only,sketch_k16,eb91245a1f64b80fe448655ca7469c9c18e2d39938aa7bf8ac64c613d80fd301,1,0,2.158809000000005,-6.6014140000000054,198.500896,0.03125,Current
20260715_paired_latency_high_exact_rep10,paired_t4_latency_replay_v3,live_t4_vllm,high,10,load_only,exact,eb91245a1f64b80fe448655ca7469c9c18e2d39938aa7bf8ac64c613d80fd301,1,2,1.431832,-21.508376,-34.48945399999997,0.046875,Current
20260715_paired_latency_high_sketch_k8_rep11,paired_t4_latency_replay_v3,live_t4_vllm,high,11,load_only,sketch_k8,8c6636e5651d7afa1d8f48cf88341de07c60fc5d17d92d509d2f2361865f72e7,1,0,-2.3819449999999946,5.603757999999999,224.342803,0.02734375,Current
20260715_paired_latency_high_sketch_k16_rep11,paired_t4_latency_replay_v3,live_t4_vllm,high,11,load_only,sketch_k16,8c6636e5651d7afa1d8f48cf88341de07c60fc5d17d92d509d2f2361865f72e7,1,3,-0.8902689999999964,4.147299000000004,218.77923299999998,0.046875,Current
20260715_paired_latency_high_exact_rep11,paired_t4_latency_replay_v3,live_t4_vllm,high,11,load_only,exact,8c6636e5651d7afa1d8f48cf88341de07c60fc5d17d92d509d2f2361865f72e7,1,2,-0.03192799999999352,-0.42553000000000907,-2.007372000000032,0.0625,Current
20260715_paired_latency_high_sketch_k8_rep12,paired_t4_latency_replay_v3,live_t4_vllm,high,12,load_only,sketch_k8,821171d36924ad431423010dfce0d13462bb1c133f842823e4ad743a7a17aa91,3,0,-1.4441109999999995,6.515729999999991,227.26340800000003,0.01171875,Current
20260715_paired_latency_high_sketch_k16_rep12,paired_t4_latency_replay_v3,live_t4_vllm,high,12,load_only,sketch_k16,821171d36924ad431423010dfce0d13462bb1c133f842823e4ad743a7a17aa91,3,2,-0.22328999999999866,7.977333000000016,246.53443300000004,0.03125,Current
20260715_paired_latency_high_exact_rep12,paired_t4_latency_replay_v3,live_t4_vllm,high,12,load_only,exact,821171d36924ad431423010dfce0d13462bb1c133f842823e4ad743a7a17aa91,3,1,-3.1757670000000005,-10.11154400000001,-8.71824700000002,0.04296875,Current
20260715_paired_latency_high_sketch_k8_rep13,paired_t4_latency_replay_v3,live_t4_vllm,high,13,load_only,sketch_k8,0bdf468d1da91f5aa1ab99a2bf6307cb730f15cb20e736a85a5b6dfaead34404,2,3,-3.461756000000001,-1.428134,227.93999399999996,0.01171875,Current
20260715_paired_latency_high_sketch_k16_rep13,paired_t4_latency_replay_v3,live_t4_vllm,high,13,load_only,sketch_k16,0bdf468d1da91f5aa1ab99a2bf6307cb730f15cb20e736a85a5b6dfaead34404,2,0,-3.655971000000001,-1.0640099999999961,225.719114,0.015625,Current
20260715_paired_latency_high_exact_rep13,paired_t4_latency_replay_v3,live_t4_vllm,high,13,load_only,exact,0bdf468d1da91f5aa1ab99a2bf6307cb730f15cb20e736a85a5b6dfaead34404,2,1,-3.1005599999999944,-5.634220999999997,-4.227596000000062,0.046875,Current
