trace,family,admission,K,rinc,rinc_ci95_low,rinc_ci95_high,saved_prefill_mean,exact_saved_mean,load_saved_mean,exact_minus_load_margin,index_bytes_mean
nl2bash,agentic_tooluse (paper original),saved_prefill_first,2,0.3453,0.2605,0.4305,174069.6,220718.0,149462.7,71255.29999999999,768.0
nl2bash,agentic_tooluse (paper original),saved_prefill_first,32,0.4399,0.3245,0.5622,180805.6,220718.0,149462.7,71255.29999999999,4608.0
nl2bash,agentic_tooluse (paper original),saved_prefill_first,4,0.3615,0.2781,0.4429,175218.6,220718.0,149462.7,71255.29999999999,1024.0
nl2bash,agentic_tooluse (paper original),saved_prefill_first,64,0.8527,0.7149,0.9873,210223.3,220718.0,149462.7,71255.29999999999,8704.0
nl2bash,agentic_tooluse (paper original),saved_prefill_first,8,0.3933,0.3012,0.4847,177486.1,220718.0,149462.7,71255.29999999999,1536.0
mbpp_s200,agentic_tooluse (second task),coverage_first,128,1.0,0.9012,1.0764,307223.4,307223.4,186093.0,121130.40000000002,16896.0
mbpp_s200,agentic_tooluse (second task),coverage_first,16,0.6974,0.5903,0.788,270573.0,307223.4,186093.0,121130.40000000002,2560.0
mbpp_s200,agentic_tooluse (second task),coverage_first,2,0.3468,0.2575,0.4287,228101.4,307223.4,186093.0,121130.40000000002,768.0
mbpp_s200,agentic_tooluse (second task),coverage_first,32,0.9415,0.846,1.026,300134.6,307223.4,186093.0,121130.40000000002,4608.0
mbpp_s200,agentic_tooluse (second task),coverage_first,4,0.3978,0.306,0.4949,234272.8,307223.4,186093.0,121130.40000000002,1024.0
mbpp_s200,agentic_tooluse (second task),coverage_first,64,1.0,0.8983,1.076,307223.4,307223.4,186093.0,121130.40000000002,8704.0
mbpp_s200,agentic_tooluse (second task),coverage_first,8,0.5035,0.3963,0.587,247080.4,307223.4,186093.0,121130.40000000002,1536.0
mbpp_s200,agentic_tooluse (second task),lfu,128,1.0,0.901,1.077,307223.4,307223.4,186093.0,121130.40000000002,16896.0
mbpp_s200,agentic_tooluse (second task),lfu,16,0.2789,0.2014,0.3512,219878.9,307223.4,186093.0,121130.40000000002,2560.0
mbpp_s200,agentic_tooluse (second task),lfu,2,0.2743,0.2066,0.338,219320.5,307223.4,186093.0,121130.40000000002,768.0
mbpp_s200,agentic_tooluse (second task),lfu,32,0.3585,0.2718,0.4438,229516.0,307223.4,186093.0,121130.40000000002,4608.0
mbpp_s200,agentic_tooluse (second task),lfu,4,0.2637,0.1998,0.3249,218036.9,307223.4,186093.0,121130.40000000002,1024.0
mbpp_s200,agentic_tooluse (second task),lfu,64,0.5126,0.438,0.5675,248190.3,307223.4,186093.0,121130.40000000002,8704.0
mbpp_s200,agentic_tooluse (second task),lfu,8,0.2627,0.1927,0.3291,217913.4,307223.4,186093.0,121130.40000000002,1536.0
mbpp_s200,agentic_tooluse (second task),lru,128,1.0,0.8894,1.0775,307223.4,307223.4,186093.0,121130.40000000002,16896.0
mbpp_s200,agentic_tooluse (second task),lru,16,0.3538,0.2841,0.421,228952.9,307223.4,186093.0,121130.40000000002,2560.0
mbpp_s200,agentic_tooluse (second task),lru,2,0.285,0.2176,0.3493,220617.0,307223.4,186093.0,121130.40000000002,768.0
mbpp_s200,agentic_tooluse (second task),lru,32,0.4415,0.3783,0.4953,239569.1,307223.4,186093.0,121130.40000000002,4608.0
mbpp_s200,agentic_tooluse (second task),lru,4,0.2879,0.2132,0.3539,220962.9,307223.4,186093.0,121130.40000000002,1024.0
mbpp_s200,agentic_tooluse (second task),lru,64,0.6803,0.5977,0.7485,268499.6,307223.4,186093.0,121130.40000000002,8704.0
mbpp_s200,agentic_tooluse (second task),lru,8,0.3166,0.2385,0.386,224446.3,307223.4,186093.0,121130.40000000002,1536.0
mbpp_s200,agentic_tooluse (second task),oracle_future_value,128,1.0,0.9005,1.0788,307223.4,307223.4,186093.0,121130.40000000002,16896.0
mbpp_s200,agentic_tooluse (second task),oracle_future_value,16,0.9815,0.8651,1.06,304984.1,307223.4,186093.0,121130.40000000002,2560.0
mbpp_s200,agentic_tooluse (second task),oracle_future_value,2,0.5102,0.4493,0.5761,247897.6,307223.4,186093.0,121130.40000000002,768.0
mbpp_s200,agentic_tooluse (second task),oracle_future_value,32,1.0,0.8931,1.0764,307223.4,307223.4,186093.0,121130.40000000002,4608.0
mbpp_s200,agentic_tooluse (second task),oracle_future_value,4,0.685,0.6014,0.7647,269064.6,307223.4,186093.0,121130.40000000002,1024.0
mbpp_s200,agentic_tooluse (second task),oracle_future_value,64,1.0,0.8921,1.0723,307223.4,307223.4,186093.0,121130.40000000002,8704.0
mbpp_s200,agentic_tooluse (second task),oracle_future_value,8,0.8465,0.7535,0.9188,288627.6,307223.4,186093.0,121130.40000000002,1536.0
mbpp_s200,agentic_tooluse (second task),reuse_distance,128,1.0,0.8971,1.0771,307223.4,307223.4,186093.0,121130.40000000002,16896.0
mbpp_s200,agentic_tooluse (second task),reuse_distance,16,0.4325,0.3513,0.5046,238486.6,307223.4,186093.0,121130.40000000002,2560.0
mbpp_s200,agentic_tooluse (second task),reuse_distance,2,0.3174,0.2419,0.3858,224541.7,307223.4,186093.0,121130.40000000002,768.0
mbpp_s200,agentic_tooluse (second task),reuse_distance,32,0.4662,0.379,0.5457,242569.6,307223.4,186093.0,121130.40000000002,4608.0
mbpp_s200,agentic_tooluse (second task),reuse_distance,4,0.3514,0.2775,0.4155,228655.3,307223.4,186093.0,121130.40000000002,1024.0
mbpp_s200,agentic_tooluse (second task),reuse_distance,64,0.847,0.7519,0.9295,288687.0,307223.4,186093.0,121130.40000000002,8704.0
mbpp_s200,agentic_tooluse (second task),reuse_distance,8,0.395,0.3249,0.4512,233943.2,307223.4,186093.0,121130.40000000002,1536.0
mbpp_s200,agentic_tooluse (second task),saved_prefill_first,128,1.0,0.8948,1.0764,307223.4,307223.4,186093.0,121130.40000000002,16896.0
mbpp_s200,agentic_tooluse (second task),saved_prefill_first,16,0.4343,0.3626,0.5079,238702.5,307223.4,186093.0,121130.40000000002,2560.0
mbpp_s200,agentic_tooluse (second task),saved_prefill_first,2,0.2841,0.2104,0.349,220501.0,307223.4,186093.0,121130.40000000002,768.0
mbpp_s200,agentic_tooluse (second task),saved_prefill_first,32,0.4787,0.3857,0.5613,244074.7,307223.4,186093.0,121130.40000000002,4608.0
mbpp_s200,agentic_tooluse (second task),saved_prefill_first,4,0.3152,0.2314,0.3893,224267.8,307223.4,186093.0,121130.40000000002,1024.0
mbpp_s200,agentic_tooluse (second task),saved_prefill_first,64,0.8511,0.7697,0.9305,289190.7,307223.4,186093.0,121130.40000000002,8704.0
mbpp_s200,agentic_tooluse (second task),saved_prefill_first,8,0.3734,0.2962,0.4421,231326.9,307223.4,186093.0,121130.40000000002,1536.0
sharegpt_s200,real_chat_multiturn,coverage_first,128,1.0,0.8308,1.1812,129649.7,129649.7,116111.9,13537.800000000003,16921.6
sharegpt_s200,real_chat_multiturn,coverage_first,16,0.8814,0.7147,1.0552,128044.3,129649.7,116111.9,13537.800000000003,2585.6
sharegpt_s200,real_chat_multiturn,coverage_first,2,0.4021,0.2189,0.6024,121555.3,129649.7,116111.9,13537.800000000003,793.6
sharegpt_s200,real_chat_multiturn,coverage_first,32,1.0,0.8332,1.1883,129649.7,129649.7,116111.9,13537.800000000003,4633.6
sharegpt_s200,real_chat_multiturn,coverage_first,4,0.5126,0.3251,0.7143,123050.9,129649.7,116111.9,13537.800000000003,1049.6
sharegpt_s200,real_chat_multiturn,coverage_first,64,1.0,0.8291,1.1777,129649.7,129649.7,116111.9,13537.800000000003,8729.6
sharegpt_s200,real_chat_multiturn,coverage_first,8,0.6327,0.4692,0.8115,124677.0,129649.7,116111.9,13537.800000000003,1561.6
sharegpt_s200,real_chat_multiturn,lfu,128,1.0,0.838,1.167,129649.7,129649.7,116111.9,13537.800000000003,16921.6
sharegpt_s200,real_chat_multiturn,lfu,16,0.2861,0.0947,0.5009,119984.4,129649.7,116111.9,13537.800000000003,2585.6
sharegpt_s200,real_chat_multiturn,lfu,2,0.2706,0.0913,0.4772,119775.6,129649.7,116111.9,13537.800000000003,768.0
sharegpt_s200,real_chat_multiturn,lfu,32,0.315,0.1314,0.5414,120376.5,129649.7,116111.9,13537.800000000003,4633.6
sharegpt_s200,real_chat_multiturn,lfu,4,0.2693,0.0758,0.4715,119757.2,129649.7,116111.9,13537.800000000003,1049.6
sharegpt_s200,real_chat_multiturn,lfu,64,0.4301,0.2445,0.6265,121934.1,129649.7,116111.9,13537.800000000003,8729.6
sharegpt_s200,real_chat_multiturn,lfu,8,0.2843,0.1046,0.4967,119960.4,129649.7,116111.9,13537.800000000003,1561.6
sharegpt_s200,real_chat_multiturn,lru,128,1.0,0.8302,1.1696,129649.7,129649.7,116111.9,13537.800000000003,16921.6
sharegpt_s200,real_chat_multiturn,lru,16,0.3199,0.1502,0.5021,120443.3,129649.7,116111.9,13537.800000000003,2585.6
sharegpt_s200,real_chat_multiturn,lru,2,0.2083,0.0478,0.3844,118931.4,129649.7,116111.9,13537.800000000003,793.6
sharegpt_s200,real_chat_multiturn,lru,32,0.4009,0.2074,0.623,121539.8,129649.7,116111.9,13537.800000000003,4633.6
sharegpt_s200,real_chat_multiturn,lru,4,0.2722,0.0903,0.4735,119796.6,129649.7,116111.9,13537.800000000003,1049.6
sharegpt_s200,real_chat_multiturn,lru,64,0.5779,0.3752,0.7942,123934.8,129649.7,116111.9,13537.800000000003,8729.6
sharegpt_s200,real_chat_multiturn,lru,8,0.2768,0.0946,0.4742,119859.2,129649.7,116111.9,13537.800000000003,1561.6
sharegpt_s200,real_chat_multiturn,oracle_future_value,128,1.0,0.8313,1.1736,129649.7,129649.7,116111.9,13537.800000000003,16921.6
sharegpt_s200,real_chat_multiturn,oracle_future_value,16,0.9888,0.8251,1.1659,129498.1,129649.7,116111.9,13537.800000000003,2585.6
sharegpt_s200,real_chat_multiturn,oracle_future_value,2,0.6517,0.4757,0.843,124935.0,129649.7,116111.9,13537.800000000003,793.6
sharegpt_s200,real_chat_multiturn,oracle_future_value,32,1.0,0.8395,1.1736,129649.7,129649.7,116111.9,13537.800000000003,4633.6
sharegpt_s200,real_chat_multiturn,oracle_future_value,4,0.7656,0.57,0.9754,126476.1,129649.7,116111.9,13537.800000000003,1049.6
sharegpt_s200,real_chat_multiturn,oracle_future_value,64,1.0,0.8264,1.1629,129649.7,129649.7,116111.9,13537.800000000003,8729.6
sharegpt_s200,real_chat_multiturn,oracle_future_value,8,0.8757,0.7086,1.06,127967.2,129649.7,116111.9,13537.800000000003,1561.6
sharegpt_s200,real_chat_multiturn,reuse_distance,128,1.0,0.8452,1.1742,129649.7,129649.7,116111.9,13537.800000000003,16921.6
sharegpt_s200,real_chat_multiturn,reuse_distance,16,0.3449,0.1715,0.5386,120780.9,129649.7,116111.9,13537.800000000003,2585.6
sharegpt_s200,real_chat_multiturn,reuse_distance,2,0.3102,0.1167,0.512,120311.8,129649.7,116111.9,13537.800000000003,793.6
sharegpt_s200,real_chat_multiturn,reuse_distance,32,0.3674,0.1776,0.584,121086.2,129649.7,116111.9,13537.800000000003,4633.6
sharegpt_s200,real_chat_multiturn,reuse_distance,4,0.3421,0.1562,0.5301,120743.3,129649.7,116111.9,13537.800000000003,1049.6
sharegpt_s200,real_chat_multiturn,reuse_distance,64,0.9682,0.8024,1.1506,129219.5,129649.7,116111.9,13537.800000000003,8729.6
sharegpt_s200,real_chat_multiturn,reuse_distance,8,0.3449,0.1573,0.5383,120780.9,129649.7,116111.9,13537.800000000003,1561.6
sharegpt_s200,real_chat_multiturn,saved_prefill_first,128,1.0,0.8333,1.1897,129649.7,129649.7,116111.9,13537.800000000003,16921.6
sharegpt_s200,real_chat_multiturn,saved_prefill_first,16,0.3533,0.1578,0.5488,120894.7,129649.7,116111.9,13537.800000000003,2585.6
sharegpt_s200,real_chat_multiturn,saved_prefill_first,2,0.3078,0.116,0.5231,120278.6,129649.7,116111.9,13537.800000000003,768.0
sharegpt_s200,real_chat_multiturn,saved_prefill_first,32,0.3623,0.173,0.5624,121016.8,129649.7,116111.9,13537.800000000003,4633.6
sharegpt_s200,real_chat_multiturn,saved_prefill_first,4,0.3238,0.124,0.5329,120495.2,129649.7,116111.9,13537.800000000003,1049.6
sharegpt_s200,real_chat_multiturn,saved_prefill_first,64,0.9682,0.7965,1.1661,129219.5,129649.7,116111.9,13537.800000000003,8729.6
sharegpt_s200,real_chat_multiturn,saved_prefill_first,8,0.3487,0.1567,0.5437,120832.0,129649.7,116111.9,13537.800000000003,1561.6
