experiment,evidence_type,load_regime,interface,K,n_reps,status,saved_prefill_tokens_total_mean,saved_prefill_tokens_total_ci95_low,saved_prefill_tokens_total_ci95_high,slo_miss_rate_mean,slo_miss_rate_ci95_low,slo_miss_rate_ci95_high,modeled_ttft_mean_ms_mean,modeled_ttft_mean_ms_ci95_low,modeled_ttft_mean_ms_ci95_high,modeled_ttft_p50_ms_mean,modeled_ttft_p50_ms_ci95_low,modeled_ttft_p50_ms_ci95_high,modeled_ttft_p95_ms_mean,modeled_ttft_p95_ms_ci95_low,modeled_ttft_p95_ms_ci95_high,dispatcher_index_bytes_mean,dispatcher_index_bytes_ci95_low,dispatcher_index_bytes_ci95_high,affinity_selected_rate_mean,affinity_selected_rate_ci95_low,affinity_selected_rate_ci95_high,deadline_abstention_rate_mean,deadline_abstention_rate_ci95_low,deadline_abstention_rate_ci95_high,incremental_saved_vs_exact_ratio_mean,incremental_saved_vs_exact_ratio_ci95_low,incremental_saved_vs_exact_ratio_ci95_high,delta_slo_miss_vs_load_mean,delta_slo_miss_vs_load_ci95_low,delta_slo_miss_vs_load_ci95_high
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_exact,inf,20,Current,964483.2,958805.35,971088.55,0.0045632333767926985,0.003389830508474576,0.005671447196870925,39.38771061077127,38.875654397753515,39.91100190552606,32.3615384615385,31.750000000000078,32.99519230769224,96.05000000000011,94.33846153846159,98.02500000000043,33152.0,33152.0,33152.0,0.0,0.0,0.0,0.7807692307692308,0.7776401564537158,0.7837027379400261,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_load_only,inf,20,Current,964483.2,958801.4,970790.45,0.0045632333767926985,0.003455019556714472,0.005736636245110821,39.38771061077127,38.841964196168924,39.88891284725709,32.3615384615385,31.744230769230775,32.96442307692307,96.05000000000011,94.33846153846184,97.9192307692307,384.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_sketch_coverage,16,20,Current,964483.2,958301.45,970961.0,0.0045632333767926985,0.003455019556714472,0.005671447196870925,39.38771061077127,38.84173979540671,39.90650386119752,32.3615384615385,31.763461538461648,32.997115384615405,96.05000000000011,94.21634615384619,97.92115384615408,4480.0,4480.0,4480.0,0.0,0.0,0.0,0.2614732724902216,0.2574315514993481,0.2657105606258149,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_sketch_coverage,32,20,Current,964483.2,958698.95,971284.95,0.0045632333767926985,0.003455019556714472,0.005671447196870925,39.38771061077127,38.83587278106511,39.902793099990014,32.3615384615385,31.759615384615312,32.95673076923073,96.05000000000011,94.29326923076921,97.94711538461559,8576.0,8576.0,8576.0,0.0,0.0,0.0,0.4282920469361147,0.4222946544980443,0.43409387222946544,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_sketch_coverage,8,20,Current,964483.2,958898.7,971379.0,0.0045632333767926985,0.003455019556714472,0.005671447196870925,39.38771061077127,38.85299618894798,39.9351970715074,32.3615384615385,31.752884615384733,32.98173076923067,96.05000000000011,94.25192307692325,97.77788461538508,2432.0,2432.0,2432.0,0.0,0.0,0.0,0.1503259452411995,0.14661016949152542,0.15378096479791395,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_exact,inf,20,Current,972238.65,966788.0,977705.1,0.0,0.0,0.0,33.218363253434994,32.909863604452944,33.521211513388856,27.394230769230763,26.977884615384617,27.817307692307715,80.55961538461555,80.38942307692318,80.72500000000028,33152.0,33152.0,33152.0,0.0,0.0,0.0,0.7670143415906128,0.7621903520208605,0.7717079530638853,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_load_only,inf,20,Current,972238.65,966558.55,977217.05,0.0,0.0,0.0,33.218363253434994,32.91008173703743,33.525697021361985,27.394230769230763,26.91923076923058,27.815384615384506,80.55961538461555,80.38557692307702,80.72788461538485,384.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_sketch_coverage,16,20,Current,972238.65,966802.35,977166.3,0.0,0.0,0.0,33.218363253434994,32.91576195968311,33.529540667937056,27.394230769230763,26.97403846153834,27.81538461538444,80.55961538461555,80.3807692307693,80.72596153846179,4480.0,4480.0,4480.0,0.0,0.0,0.0,0.26101694915254237,0.2551499348109518,0.26668839634941327,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_sketch_coverage,32,20,Current,972238.65,966302.0,977286.2,0.0,0.0,0.0,33.218363253434994,32.91481546484809,33.514623658610006,27.394230769230763,26.969230769230716,27.824038461538475,80.55961538461555,80.38750000000007,80.72500000000022,8576.0,8576.0,8576.0,0.0,0.0,0.0,0.41883963494132986,0.4121251629726206,0.4259452411994785,1.0,1.0,1.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_sketch_coverage,8,20,Current,972238.65,966931.4,977293.9,0.0,0.0,0.0,33.218363253434994,32.903886270183555,33.54549694112931,27.394230769230763,26.947115384615472,27.81634615384612,80.55961538461555,80.38269230769247,80.72980769230792,2432.0,2432.0,2432.0,0.0,0.0,0.0,0.15182529335071707,0.14719687092568448,0.15638852672750977,1.0,1.0,1.0,0.0,0.0,0.0
