workload_trace_hash,rep,request_count_total,measured_request_count,active_lineages,unique_selective_prefixes,top_2_demand_concentration,top_8_demand_concentration,top_16_demand_concentration,reuse_distance_p50_requests,reuse_distance_p95_requests,prefix_tokens_p50,prefix_tokens_p95
80eb970c7b5034ea46dcb06cb8f053755296614b7678e59f8b9405105565637b,0,512,384,495,512,0.02040120503999837,0.06980377389215706,0.11800028497567529,109.0,357.0,287.0,954.0
14b63f7d3ddb6f607ca1fd2d957354ad5800b8702ec38711ff06cd585b793014,1,512,384,496,512,0.023044439975869697,0.07321536295998392,0.12998692941886186,103.0,390.0,286.0,1047.0
dedf6b801bc29711aeb4d8f19af8162f693981fa1d0668c50ecc831521cff2ad,2,512,384,494,512,0.022504663544946783,0.0708369363636858,0.11324120452703769,102.0,340.0,282.0,768.0
ca7e5d6960f347fa5b522797b229796883ff9ff067561ff1ae715efd91005f98,3,512,384,493,512,0.020975591147635683,0.06772243990430465,0.10943383887650614,105.0,282.0,283.0,779.0
b8bc3c34f22e40e9bfc2536c4b9c2a8fc0dbf6cea30f0755243454355869708b,4,512,384,496,512,0.026108506975303314,0.07384121599317452,0.12330061094211031,111.0,408.0,284.0,1020.0
a89d1314b3f2789ddf18bf14220e3be945b5cf22c6dad5ba1f0f73aac218f270,5,512,384,499,512,0.02172100481026189,0.06831640833778728,0.1153874933190807,131.0,242.0,283.0,835.0
522208d82d1c9cbff71acb543db9eb9d53c19b71d0efd916f353af02ab86cd24,6,512,384,497,512,0.029268680866866494,0.08040531579086978,0.12823682325791136,165.0,232.0,282.0,780.0
018ab4bc3392e758d262168b230e95a2290160d454afeec0c403f5c2cf7e5683,7,512,384,497,512,0.02328863042327901,0.0767503888565213,0.12249915814567554,173.0,348.0,283.0,807.0
df0961a99ee598d7ce40d7df0380bafbbb4d9a466edae1f184d811881c0f542b,8,512,384,495,512,0.023886278867629746,0.0681435597266996,0.11090450989668717,147.0,343.0,284.0,770.0
6f0b952362899afcf85767802b1d9931fd54f10b38bc0ca520065683102bc68a,9,512,384,496,512,0.024010249434541227,0.07386025127986123,0.12567156467319382,141.0,269.0,281.0,861.0
