experiment,policy,K,locality,rep,n_requests,n_success,success_rate,unique_prefixes,observed_reuse_hit_rate,candidate_hit_rate,candidate_fanout_p95,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,decision_p50_us,decision_p95_us,advertised_entries_end,metadata_snapshot_bytes_end,claim_relevance
live_vllm_affinity_workload,coarse,full,high,1,4,4,1.0,3,0.0,0.0,0,3510.086,16156.609,4979.831,17587.537,12.133,14.043,0,768,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
live_vllm_affinity_workload,sketch,2,high,1,4,4,1.0,4,0.0,0.0,0,472.345,1507.704,820.874,1965.675,16.43,17.897,4,1024,Live T4/vLLM check that bounded affinity state helps route repeated prefixes while bounding advertised metadata.
