experiment_id,locality,rep,baseline_policy,treatment_policy,workload_trace_hash,status,delta_ttft_p50_ms,delta_ttft_p95_ms,delta_vllm_cached_tokens_total,delta_vllm_cached_token_rate,delta_metric_prefix_cache_hits_delta,delta_mean_selected_coverage_tokens
20260716_fixed_t4_high_sketch_coverage_k8_rep0,high,0,load_only,sketch_coverage_k8,d4feb3e00c377f6a346ca940971f19f5a4aa313c8bcd0119b334da00190e119e,Current,-6.160679999999957,1674.5064820000002,4160.0,0.0,6224.0,256.0
20260716_fixed_t4_high_sketch_coverage_k16_rep0,high,0,load_only,sketch_coverage_k16,d4feb3e00c377f6a346ca940971f19f5a4aa313c8bcd0119b334da00190e119e,Current,-585.858758,70.63613900000007,4160.0,0.0,6224.0,256.0
20260716_fixed_t4_high_exact_rep0,high,0,load_only,exact,d4feb3e00c377f6a346ca940971f19f5a4aa313c8bcd0119b334da00190e119e,Current,-609.738831,57.464860000000044,4160.0,0.0,6224.0,256.0
20260716_fixed_t4_high_sketch_coverage_k8_rep1,high,1,load_only,sketch_coverage_k8,d46c873409163056212b29c3d27c188f59cbfd99de39fdb73004a6af5a0a1f61,Current,-628.230552,21.025570000000016,8320.0,0.0,12480.0,512.0
20260716_fixed_t4_high_sketch_coverage_k16_rep1,high,1,load_only,sketch_coverage_k16,d46c873409163056212b29c3d27c188f59cbfd99de39fdb73004a6af5a0a1f61,Current,-678.957949,15.638179000000036,8320.0,0.0,12480.0,512.0
20260716_fixed_t4_high_exact_rep1,high,1,load_only,exact,d46c873409163056212b29c3d27c188f59cbfd99de39fdb73004a6af5a0a1f61,Current,-682.749654,99.73513200000002,8320.0,0.0,12480.0,512.0
20260716_fixed_t4_high_sketch_coverage_k8_rep2,high,2,load_only,sketch_coverage_k8,28f66822c43bd8220ba9e5932784d74483f59af3c63d0a4afe929f020592d4e4,Current,-645.21763,2.3555840000000217,10400.0,0.0,12480.0,640.0
20260716_fixed_t4_high_sketch_coverage_k16_rep2,high,2,load_only,sketch_coverage_k16,28f66822c43bd8220ba9e5932784d74483f59af3c63d0a4afe929f020592d4e4,Current,-14.187224000000015,-14.517886999999973,10400.0,0.0,12480.0,640.0
20260716_fixed_t4_high_exact_rep2,high,2,load_only,exact,28f66822c43bd8220ba9e5932784d74483f59af3c63d0a4afe929f020592d4e4,Current,-702.725762,1.2983440000000428,10400.0,0.0,12480.0,640.0
20260716_fixed_t4_high_sketch_coverage_k8_rep3,high,3,load_only,sketch_coverage_k8,838db0ed62e754c871bbddefc9356abac60304e9e8b577b407817c219210016f,Current,10.979057000000012,-1.8608469999999215,2064.0,0.0,4160.0,128.0
20260716_fixed_t4_high_sketch_coverage_k16_rep3,high,3,load_only,sketch_coverage_k16,838db0ed62e754c871bbddefc9356abac60304e9e8b577b407817c219210016f,Current,-1.6296409999999923,-2.2927819999999883,2064.0,0.0,4160.0,128.0
20260716_fixed_t4_high_exact_rep3,high,3,load_only,exact,838db0ed62e754c871bbddefc9356abac60304e9e8b577b407817c219210016f,Current,13.54522,2.8423990000000003,2064.0,0.0,4160.0,128.0
20260716_fixed_t4_high_sketch_coverage_k8_rep4,high,4,load_only,sketch_coverage_k8,2bce2ec3ef2c1ac4eb3ec55504593f01af9a8ad6a6ed381cd0236909003958e8,Current,75.54785699999991,145.4778560000001,8304.0,0.0,10384.0,512.0
20260716_fixed_t4_high_sketch_coverage_k16_rep4,high,4,load_only,sketch_coverage_k16,2bce2ec3ef2c1ac4eb3ec55504593f01af9a8ad6a6ed381cd0236909003958e8,Current,51.30935699999998,90.015177,8304.0,0.0,10384.0,512.0
20260716_fixed_t4_high_exact_rep4,high,4,load_only,exact,2bce2ec3ef2c1ac4eb3ec55504593f01af9a8ad6a6ed381cd0236909003958e8,Current,41.38955599999997,129.5948830000001,8304.0,0.0,10384.0,512.0
20260716_fixed_t4_high_sketch_coverage_k8_rep5,high,5,load_only,sketch_coverage_k8,1eb6aaa45ee10ef8a8dc65842cdd3252d0876854b5c19e9030fb46e6cf7bc698,Current,-627.424704,-23.513193,10400.0,0.0,10400.0,640.0
