prefix_length_tokens,prefix_length_actual_tokens,repetition,condition,order,ttft_ms,prompt_tokens,cached_tokens,generated_tokens,total_request_latency_ms,timestamp_utc,request_id,server_request_id
512,512,14,hit,hit_then_miss,45.937698,553,528,1,45.983331,2026-07-25T13:13:06.402803+00:00,pcache-af4e2c46f0d54fb2b869bb36d9948004,chatcmpl-43377563def44f8eba4322cf07e1d41a
512,512,14,miss,hit_then_miss,153.021446,553,0,1,153.111777,2026-07-25T13:13:06.555963+00:00,pcache-4f805abe93a04e0f959a89b5e2c5e871,chatcmpl-1c994375384d4265a4f004e41831ecd7
1024,1024,0,miss,miss_then_hit,398.074844,1065,0,1,398.124888,2026-07-25T13:13:10.070813+00:00,pcache-70ee3b53de444c5fb51f2a42f846489e,chatcmpl-59f85be1c1e044058290dac3851f8968
1024,1024,0,hit,miss_then_hit,57.873619,1065,1040,1,57.939116,2026-07-25T13:13:10.488475+00:00,pcache-d71cdedae01b4628a19e5c4c62393088,chatcmpl-be8b780ddd88439192a329066179142a
1024,1024,1,hit,hit_then_miss,54.998609,1065,1040,1,55.068364,2026-07-25T13:13:14.189499+00:00,pcache-912f61fac1484369b543cb0987b6fb11,chatcmpl-1158adffee964122b9d4569c5208709c
1024,1024,1,miss,hit_then_miss,350.352171,1065,0,1,350.439765,2026-07-25T13:13:14.539989+00:00,pcache-4f97c70619764e73a0152b8eb3c02b55,chatcmpl-d574bffafceb483e8ab9f59f031ac011
1024,1024,2,hit,hit_then_miss,56.733731,1065,1040,1,56.823692,2026-07-25T13:13:18.207194+00:00,pcache-29192f66e0ce45f9af5648d79832f730,chatcmpl-5af05ac7ed5b46e7abd63abc91256aa2
1024,1024,2,miss,hit_then_miss,325.544998,1065,0,1,325.634569,2026-07-25T13:13:18.532926+00:00,pcache-a116ebf3170b45f794e22996a8ce7063,chatcmpl-8597b771e31f43a6b41e141de6113076
1024,1024,3,hit,hit_then_miss,55.073264,1065,1040,1,55.165226,2026-07-25T13:13:22.218153+00:00,pcache-3f45d0ad02d14fbfbf591e5df4b2e8fa,chatcmpl-72db247f0e9f442b97f7eed94ce48b4e
1024,1024,3,miss,hit_then_miss,338.822655,1065,0,1,338.887936,2026-07-25T13:13:22.557138+00:00,pcache-308ee12f99fb474ba7e4532d2ca45a35,chatcmpl-fc3eba4a5fbd436889b1c8846b81e460
