prefix_length,ttft_miss_mean_ms,ttft_hit_mean_ms,absolute_saving_ms,relative_saving_percent,miss_cached_tokens_mean,hit_cached_tokens_mean
512,149.21179986666667,44.3550466,104.85675326666666,70.27376746367581,0.0,528.0
1024,370.61396433333334,54.513400133333334,316.1005642,85.29105609083216,0.0,1040.0
2048,845.6086968666666,65.96360706666667,779.6450897999999,92.19927523083794,0.0,2064.0
4096,2267.3502891333333,97.957299,2169.392990133333,95.6796574631861,0.0,4112.0
