policy,rep,recovery_time_s,recovered_within_window
Adaptive,0,35.075838804244995,True
Adaptive,1,4.18353271484375,True
Adaptive,2,29.08228635787964,True
Adaptive,3,15.109453916549683,True
Adaptive,4,12.047765493392944,True
LatestOnly,0,30.130393981933594,True
LatestOnly,1,8.854340076446533,True
LatestOnly,2,26.063201427459717,True
LatestOnly,3,11.463279008865356,True
LatestOnly,4,5.176436901092529,True
RateFIFO,0,33.51242256164551,True
RateFIFO,1,1.7802765369415283,True
RateFIFO,2,28.449645519256592,True
RateFIFO,3,15.779382944107056,True
RateFIFO,4,9.895433902740479,True
StaticSemantic,0,34.27547264099121,True
StaticSemantic,1,3.0795347690582275,True
StaticSemantic,2,28.416480779647827,True
StaticSemantic,3,12.962727546691895,True
StaticSemantic,4,8.446044683456421,True
