rep,cell_id,policy,workload,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
1,StaticSemantic@rho1.0,StaticSemantic,reuse_intensive,1.0,0.7776725090794252,100.08428559374988,-301.88562999999976,0.0
1,FullSync@rho0.5,FullSync,reuse_intensive,0.5,0.8484130743723354,136.5708277916665,-90.45773899999949,0.0
1,LatestOnly@rho0.5,LatestOnly,reuse_intensive,0.5,0.868624664456024,69.51317333333327,-83.56418099999973,0.0
1,Adaptive@rho1.0,Adaptive,reuse_intensive,1.0,0.7675667140375809,177.7386200520832,254.37647600000128,0.0
1,FullSync@rho1.0,FullSync,reuse_intensive,1.0,0.737249328912048,169.12547188541657,92.34424200000103,0.0
1,RateFIFO@rho0.5,RateFIFO,reuse_intensive,0.5,0.737249328912048,303.04068434374994,213.08752800000002,0.0
2,Adaptive@rho1.0,Adaptive,reuse_intensive,1.0,0.8952476994831715,80.23616461458323,76.31953600000088,0.0
2,Adaptive@rho1.2,Adaptive,reuse_intensive,1.2,0.8628513803100971,192.7805553229166,781.2130690000013,0.0
2,LatestOnly@rho0.5,LatestOnly,reuse_intensive,0.5,0.7579730240766419,277.18833076041665,174.7795930000011,0.0
2,StaticSemantic@rho1.0,StaticSemantic,reuse_intensive,1.0,0.7175091390394555,404.2059869166667,-34.20951400000013,0.0
2,FullSync@rho1.2,FullSync,reuse_intensive,1.2,0.7660405899407539,282.6924214687499,698.3244009999999,0.0
2,FullSync@rho1.0,FullSync,reuse_intensive,1.0,0.741837892348418,279.1114726979167,528.2638380000008,0.0
2,RateFIFO@rho1.2,RateFIFO,reuse_intensive,1.2,0.7579730240766419,527.9022503333333,353.14898900000117,0.0
2,FullSync@rho0.5,FullSync,reuse_intensive,0.5,0.741837892348418,383.21244729166665,856.0636140000006,0.0
2,RateFIFO@rho0.5,RateFIFO,reuse_intensive,0.5,0.8546577587293583,373.6487908854167,833.1887480000005,0.0
2,StaticSemantic@rho0.5,StaticSemantic,reuse_intensive,0.5,0.9273919072229926,17.070603604166763,201.2291460000015,0.0
2,LatestOnly@rho0.8,LatestOnly,reuse_intensive,0.8,0.7741081558048658,221.87833471875,166.75097000000096,0.0
2,StaticSemantic@rho1.2,StaticSemantic,reuse_intensive,1.2,0.7175091390394555,660.1702213958333,918.4409009999999,0.0
