workload,policy,rho,n_runs,repetition_unit,ci_level,dispatch_state_age_mean_s_mean,dispatch_state_age_mean_s_std,dispatch_state_age_mean_s_ci95,dispatch_state_age_p95_s_mean,dispatch_state_age_p95_s_std,dispatch_state_age_p95_s_ci95,dispatcher_view_missing_at_dispatch_rate_mean,dispatcher_view_missing_at_dispatch_rate_std,dispatcher_view_missing_at_dispatch_rate_ci95,source_view_false_negative_rate_mean,source_view_false_negative_rate_std,source_view_false_negative_rate_ci95,source_view_false_positive_rate_mean,source_view_false_positive_rate_std,source_view_false_positive_rate_ci95,physical_false_positive_affinity_rate_mean,physical_false_positive_affinity_rate_std,physical_false_positive_affinity_rate_ci95,vllm_cached_tokens_per_request_mean,vllm_cached_tokens_per_request_std,vllm_cached_tokens_per_request_ci95,vllm_cached_tokens_total_mean,vllm_cached_tokens_total_std,vllm_cached_tokens_total_ci95,ttft_mean_ms_mean,ttft_mean_ms_std,ttft_mean_ms_ci95,ttft_p50_ms_mean,ttft_p50_ms_std,ttft_p50_ms_ci95,ttft_p95_ms_mean,ttft_p95_ms_std,ttft_p95_ms_ci95,ttft_p99_ms_mean,ttft_p99_ms_std,ttft_p99_ms_ci95,latency_p95_ms_mean,latency_p95_ms_std,latency_p95_ms_ci95,throughput_requests_per_s_mean,throughput_requests_per_s_std,throughput_requests_per_s_ci95,net_wire_bytes_sent_mean,net_wire_bytes_sent_std,net_wire_bytes_sent_ci95,relay_forwarded_mean,relay_forwarded_std,relay_forwarded_ci95,net_msgs_delivered_mean,net_msgs_delivered_std,net_msgs_delivered_ci95,net_undelivered_at_drain_end_mean,net_undelivered_at_drain_end_std,net_undelivered_at_drain_end_ci95,ad_delivery_delay_p50_s_mean,ad_delivery_delay_p50_s_std,ad_delivery_delay_p50_s_ci95,ad_delivery_delay_p95_s_mean,ad_delivery_delay_p95_s_std,ad_delivery_delay_p95_s_ci95,ad_delivery_delay_p99_s_mean,ad_delivery_delay_p99_s_std,ad_delivery_delay_p99_s_ci95,relay_max_queue_mean,relay_max_queue_std,relay_max_queue_ci95,stale_fallback_rate_mean,stale_fallback_rate_std,stale_fallback_rate_ci95,tombstone_delay_p95_s_mean,tombstone_delay_p95_s_std,tombstone_delay_p95_s_ci95,affinity_selection_rate_mean,affinity_selection_rate_std,affinity_selection_rate_ci95,dispatcher_unique_prefixes_per_wire_byte_mean,dispatcher_unique_prefixes_per_wire_byte_std,dispatcher_unique_prefixes_per_wire_byte_ci95
original_compatible,FullSync,0.5,5,run/repetition,95% t interval,9.62560555453248,2.361953825669488,2.9322828670843104,34.33492159843445,9.999419124285623,12.41392827424429,0.058333333333333334,0.013975424859373682,0.017349999999999994,0.058333333333333334,0.013975424859373682,0.017349999999999994,0.08333333333333334,0.06029081720203243,0.07484893582706734,0.0,0.0,0.0,1666.3666666666668,23.752017458172528,29.487296954903567,159971.2,2280.1936759845644,2830.7805076707446,1179.2430945229166,210.7966855733427,261.69669484104685,1205.1192602,230.21357557616093,285.80208304489383,2697.3728912,657.6439008375048,816.4418466231915,3196.2636248,1002.6020960161218,1244.6953520852946,3340.3895408000003,810.5620635133898,1006.2843844439348,1.4082034789228204,0.3076835730533175,0.38197836890049985,12480.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.8436648845672607,1.7495332719021899,2.1719842203683344,2.19732027053833,2.4540280114986524,3.0465897407722697,2.774396467208862,2.7342397147192825,3.3944627464088093,4.0,2.23606797749979,2.776,0.0,0.0,0.0,0.0,0.0,0.0,0.4875,0.05382504451151587,0.06682190571461823,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,FullSync,0.8,5,run/repetition,95% t interval,34.22707979981071,8.273755336680335,10.271577181792885,63.59046030044556,15.479552217387454,19.217321381935317,0.39791666666666664,0.06353312784157043,0.07887415081423484,0.39791666666666664,0.06353312784157043,0.07887415081423484,0.08125,0.028905076928149184,0.03588463962632356,0.0,0.0,0.0,1408.8,65.16159400546718,80.8958344644931,135244.8,6255.513024524847,7766.000108591335,1199.7980975,335.3062658937601,416.2709736409011,1200.8307172,320.900020557034,398.3861251223567,2869.9048782,941.0103106071751,1168.2313098398474,3586.6868246,1455.8502759618552,1807.38707710888,3290.1325806,1061.6938818723265,1318.0557325332277,1.3854457561813758,0.4102744691913665,0.5093413697327278,12480.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,28.126929378509523,11.031652553365744,13.69540988748683,32.64208755493164,11.384842152053036,14.133882391821068,33.33233857154846,11.118746528742317,13.80353400449856,44.8,14.956603892595405,18.56809937069489,0.0,0.0,0.0,0.0,0.0,0.0,0.23750000000000002,0.04908007912245727,0.060931197537331665,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,FullSync,1.0,5,run/repetition,95% t interval,41.8393008571443,10.490346572168614,13.023397489418592,72.99466886520386,18.595410515923817,23.08555022102827,0.475,0.05638486917801816,0.06999983829346401,0.475,0.05638486917801816,0.06999983829346401,0.06875,0.026145625829189858,0.03245887783026393,0.0,0.0,0.0,1355.0333333333333,41.15357416636699,51.09071952882769,130083.2,3950.7431199712287,4904.709074767456,1258.9417839520834,337.7588409220371,419.3157595539437,1417.5264961999999,408.4856392597226,507.12060008698745,2768.6032634,705.4938805300577,875.84591884422,3426.3200154,1112.6587337294127,1381.326809342557,3256.2769318,903.3424995725601,1121.4680430320961,1.309603337622182,0.36564934766102175,0.45394084586012623,12480.0,0.0,0.0,116.2,8.497058314499201,10.548799999999998,115.4,10.285912696499032,12.769599999999997,4.6,10.285912696499032,12.769599999999997,45.68368639945984,14.035956137396196,17.4251474595054,54.13829946517944,16.292795326246978,20.226934190182,55.10336561203003,16.450551891004793,20.42278343455844,63.4,9.50263121456368,11.79718350115823,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05124322448437018,0.06361666666666665,0.0027243589743589742,0.00032051282051282046,0.0003979054298422701
original_compatible,FullSync,1.2,5,run/repetition,95% t interval,39.83279261968251,11.80199701434809,14.651765528373064,69.12381410598755,22.239656405636726,27.609753729883355,0.49375,0.05442646032338806,0.0675685423600855,0.49375,0.05442646032338806,0.0675685423600855,0.075,0.042568368211880314,0.05284713673522068,0.0,0.0,0.0,1351.7666666666667,49.050370935283354,60.89431586449137,129769.6,4708.835609787201,5845.85432299117,1192.1617512354167,428.0133705119888,531.3635938160528,1238.7107894,489.9006025583834,608.1944227038598,2782.1307154,977.671584157793,1213.744995649305,3295.3638654,1130.7263315911343,1403.7570986579203,3194.0172752,1104.6346459537353,1371.3651856846814,1.4333187651991246,0.5214830568695155,0.6474029324852718,12480.0,0.0,0.0,88.8,15.368799562750501,19.07982584406891,84.8,15.368799562750501,19.07982584406891,35.2,15.368799562750501,19.07982584406891,56.21660561561585,6.9066383546830314,8.574349378250016,83.6021490573883,17.510861794777302,21.739121006801483,84.75843844413757,17.504014587818926,21.73062043941815,79.8,2.9495762407505253,3.661795494016562,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333335,0.043326321548094626,0.0537881092291265,0.0022435897435897434,0.0004840963931728594,0.0006009887002408825
original_compatible,RateFIFO,0.5,5,run/repetition,95% t interval,25.580601215294415,9.125043430709233,11.328421505312315,70.87774257659912,18.668537331990503,23.176334599429907,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.13125,0.03001012560601653,0.03725651881811349,0.0,0.0,0.0,1476.6333333333334,46.82405008824703,58.130416585238166,141756.8,4495.108808471715,5580.5199921828635,1448.8897547770832,305.69405778082063,379.5084554398963,1516.4841302,374.653082636951,465.11866717176923,3453.47476,687.211264453433,853.1486919533551,3982.8683758,659.382628155258,818.6004156303286,4015.8061696,711.8805202237429,883.7747081154181,1.1985636977429819,0.30593767674768346,0.3798108998462454,12480.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,90.0,0.0,0.0,0.004149198532104492,4.050520458631831e-05,5.028579142631641e-05,0.005080461502075195,0.00047578173301644473,0.0005906663411594671,0.0934260368347168,0.0048247232174476445,0.005989724725010476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42291666666666666,0.07640467008705104,0.09485371924998806,0.0014102564102564104,0.00022378589813732276,0.0002778223468518261
original_compatible,RateFIFO,0.8,5,run/repetition,95% t interval,24.59832801391267,9.051497983201083,11.237117410652854,68.2272481918335,19.418731075037,24.10767383046063,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.13125,0.03001012560601653,0.03725651881811349,0.0,0.0,0.0,1476.6333333333334,46.82405008824703,58.130416585238166,141756.8,4495.108808471715,5580.5199921828635,1407.5523606708334,338.15248839105925,419.80445908589047,1482.973301,428.12666060479563,531.5042394944473,3541.3327388,824.304105933752,1023.3446483280317,3935.0392906,710.0788214696478,881.5379622777714,4041.3162268,1001.5984787301054,1243.4493964104156,1.268632972362076,0.4201690836336684,0.5216251866686253,12480.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,90.0,0.0,0.0,0.004189443588256836,6.842019224802124e-05,8.494126993977973e-05,0.005123281478881836,0.0004286801059058041,0.0005321913224324703,0.0931013584136963,0.0028812758903557687,0.003577003003536088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42291666666666666,0.07640467008705104,0.09485371924998806,0.0014102564102564104,0.00022378589813732276,0.0002778223468518261
original_compatible,RateFIFO,1.0,5,run/repetition,95% t interval,23.77749825910328,9.555702810809255,11.863070027265744,65.84642305374146,20.9134975976717,25.96337406345335,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.13125,0.03001012560601653,0.03725651881811349,0.0,0.0,0.0,1476.6333333333334,46.82405008824703,58.130416585238166,141756.8,4495.108808471715,5580.5199921828635,1337.6634838666666,385.4184199388514,478.48345601127954,1440.0399776,489.6656916382296,607.9027890322055,3153.6593988,802.0596159430843,995.7288938717924,3683.7203342,840.6188384276436,1043.5988167427518,3775.6773842000002,1011.1778822072072,1255.3418899839644,1.3431726645222928,0.4871534130441538,0.6047838832353647,12480.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,90.0,0.0,0.0,0.004154300689697266,3.612399476945756e-05,4.484667303904611e-05,0.0049231529235839845,0.0002255829360088006,0.000280053306367109,0.0932387351989746,0.005689388963912097,0.0070631769350229705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42291666666666666,0.07640467008705104,0.09485371924998806,0.0014102564102564104,0.00022378589813732276,0.0002778223468518261
original_compatible,RateFIFO,1.2,5,run/repetition,95% t interval,23.8523573601303,8.793461048724087,10.916773602988712,66.30791501998901,18.874906656563372,23.432534880807236,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.24583333333333332,0.06571587623161461,0.08158395641573436,0.13125,0.03001012560601653,0.03725651881811349,0.0,0.0,0.0,1476.6333333333334,46.82405008824703,58.130416585238166,141756.8,4495.108808471715,5580.5199921828635,1363.7176506,306.18290799764134,380.11534584553215,1471.9041286,367.7444178846747,456.5418020919504,3145.687231,575.644440079037,714.6423909018022,3638.5860174,599.1473044311462,743.8203730105598,3663.1274519999997,806.1141090243667,1000.762404886169,1.2891003302185802,0.37400724290051274,0.4643168797814068,12480.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,90.0,0.0,0.0,0.0040572166442871095,4.414331420432432e-05,5.480237696897828e-05,0.004641294479370117,0.00016536421151765502,0.0002052938711131171,0.09073572158813477,0.007048958436034319,0.008751034769663261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42291666666666666,0.07640467008705104,0.09485371924998806,0.0014102564102564104,0.00022378589813732276,0.0002778223468518261
original_compatible,LatestOnly,0.5,5,run/repetition,95% t interval,9.164115158761497,2.1185520788517147,2.630108131805627,32.449026107788086,8.071582219594248,10.02058634489601,0.05625,0.015797657175107394,0.019612237534537225,0.05625,0.015797657175107394,0.019612237534537225,0.07916666666666666,0.05239490141649705,0.06504643320138485,0.0,0.0,0.0,1670.6000000000001,31.272458596449805,38.823660969740274,160377.6,3002.1560252591803,3727.0714530950645,1171.9595783895834,272.02356517458827,337.70771931942664,1205.4415214,289.0398457424067,358.83283507242857,2617.9887254,661.8885540839824,821.7114348158531,3262.3738742,725.1332845187266,900.2275503604068,3299.6944876,803.9867366771098,998.1213467003672,1.4282088323649402,0.3699503212469875,0.45928035377973375,12480.0,0.0,0.0,114.0,2.345207879911715,2.9114933625203405,114.0,2.345207879911715,2.9114933625203405,6.0,2.345207879911715,2.9114933625203405,0.15348272323608397,0.2760473577591969,0.3427031167435082,1.341373872756958,0.8579683022341091,1.0651375678054986,1.599067783355713,1.0283313226349378,1.2766372848943746,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5020833333333333,0.03712193683584469,0.04608558312772249,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,LatestOnly,0.8,5,run/repetition,95% t interval,22.46277102895279,5.925794220917043,7.356665773488211,51.345421171188356,10.207646598072417,12.672435382726057,0.17083333333333334,0.03343084694975253,0.041503224439661174,0.17083333333333334,0.03343084694975253,0.041503224439661174,0.13125,0.06011057519272295,0.07462517169159479,0.0,0.0,0.0,1539.8666666666666,59.350348683802096,73.6813771334687,147827.2,5697.633473645001,7073.412204812994,1278.4919308291667,269.4232616151684,334.4795336141688,1324.5678026,229.23121343522084,284.582514887445,3006.9996172,760.0624740724655,943.5909146126853,3861.4561288,1040.2897885683403,1291.4833011001267,3628.02807,914.6318299582124,1135.4833509144673,1.3123750179447833,0.33008153624362224,0.4097846549534881,12480.0,0.0,0.0,87.0,9.924716620639604,12.321187734954773,87.0,9.924716620639604,12.321187734954773,33.0,9.924716620639604,12.321187734954773,8.785073852539062,3.774721553758253,4.686184471435146,12.214865732192994,4.329139387094651,5.374474774247278,13.08010368347168,4.794354222451709,5.952022682426341,11.8,3.2710854467592254,4.060937901519795,0.0,0.0,0.0,0.0,0.0,0.0,0.4479166666666667,0.02551551815399144,0.0316766212423821,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,LatestOnly,1.0,5,run/repetition,95% t interval,31.39037030973133,12.963670897046336,16.09394292674361,62.75612559318542,23.906856155573106,29.679523769253198,0.30625,0.11377556184094291,0.1412483711803825,0.30625,0.11377556184094291,0.1412483711803825,0.10833333333333334,0.07533201971568561,0.09352206141987153,0.0,0.0,0.0,1433.5333333333333,107.76236716858894,133.78320081059834,137619.2,10345.187248184538,12843.187277817442,1243.9833964458333,345.5293617699022,428.96258876071613,1289.5149860000001,418.46929479740425,519.5149584211168,2863.6052558,807.7182754178712,1002.7539212234084,3547.1316404,1045.2864925928297,1297.686533967623,3467.8964458,1015.6546974756458,1260.8996991875474,1.353135749581979,0.4193817710982723,0.5206477657582363,12480.0,0.0,0.0,79.4,4.33589667773576,5.382863713675091,79.4,4.33589667773576,5.382863713675091,40.6,4.33589667773576,5.382863713675091,16.632013416290285,8.390639317527498,10.416684546191764,21.6929913520813,10.601014792988765,13.160788205661595,22.683423662185668,10.56515804357239,13.116273308359075,19.2,7.5630681604756145,9.389283968439765,0.0,0.0,0.0,0.0,0.0,0.0,0.32916666666666666,0.08826550068464525,0.10957852460932094,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,LatestOnly,1.2,5,run/repetition,95% t interval,39.165863157342244,13.040410416571403,16.189212349831443,69.3116367816925,23.88415051692069,29.65133551490076,0.47291666666666665,0.021600459743049704,0.0268162134828084,0.47291666666666665,0.021600459743049704,0.0268162134828084,0.07291666666666667,0.05657698172500112,0.0702383392852903,0.0,0.0,0.0,1378.4333333333334,45.875980159071915,56.95342100644862,132329.6,4404.094095270899,5467.528416619062,1191.4862320895834,396.49321952878574,492.2324314319789,1312.1799338,480.27916336491216,596.2497432621641,2691.885314,1071.8938055278609,1330.7185801535504,3360.6594026000002,998.3786575880414,1239.4521013459052,3024.926697,1181.8452109343211,1467.2193951912107,1.4736559802866886,0.6223552202805764,0.7726321868938095,12480.0,0.0,0.0,69.6,1.140175425099138,1.4154878169733571,68.8,2.7748873851023217,3.4449254041270616,51.2,2.7748873851023217,3.4449254041270616,30.67819595336914,13.13167385395809,16.30251270775201,40.13311953544617,17.670274082801097,21.937025773564816,40.83281350135803,17.623611688826493,21.879096047377182,27.6,4.39317652729776,5.453974638738248,0.0,0.0,0.0,0.0,0.0,0.0,0.20416666666666666,0.03423265984407289,0.04249864703728814,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,AgeCov-Greedy,0.5,5,run/repetition,95% t interval,10.226361925175008,2.5972529948781133,3.2243985363286303,33.51798882484436,10.896664650241899,13.527827138284911,0.08541666666666667,0.06480137922914912,0.08044864044842522,0.08541666666666667,0.06480137922914912,0.08044864044842522,0.08750000000000001,0.045762255492685,0.056812235820190085,0.0,0.0,0.0,1637.4,105.89785434821403,131.4684735118567,157190.4,10166.194017428548,12620.973457138247,1138.8822234354166,344.90446832482695,428.18680545672703,1217.965189,380.44341014943507,472.30715577605065,2530.0938466000002,747.164922422673,927.5790564133398,3026.7984438,930.8234883694645,1155.5847271704315,3170.2463982,1030.6798819706717,1279.5529389717997,1.524321358744807,0.5296990919482517,0.6576028519904354,12480.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,1.342849063873291,2.3679987581646356,2.9397874388483993,2.257514142990112,3.226199538717292,4.005213620335942,2.7779123783111572,3.561435178205655,4.421396913770627,6.4,7.05691150575094,8.760908226890633,0.0,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.048524227911883815,0.060241127746932334,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,AgeCov-Greedy,0.8,5,run/repetition,95% t interval,33.73158864971168,12.835033931765079,15.934244644216415,65.59543910026551,21.39372791835792,26.55956317024229,0.3520833333333333,0.07980825545574147,0.09907915115928496,0.3520833333333333,0.07980825545574147,0.09907915115928496,0.12916666666666668,0.03653266232656288,0.04535401948376057,0.0,0.0,0.0,1405.7333333333333,71.41220328331687,88.65574674350717,134950.4,6855.571515198423,8510.951687376692,1273.2798353270832,377.58912706685754,468.7636633970333,1342.4633614,392.1603879968809,486.8533729893923,2845.8502488,864.5616941313159,1073.3230326888656,3556.9991114,1173.619838073828,1457.0078831573683,3305.9541931999997,1072.7664509281537,1331.801938824033,1.3393249567697494,0.4216893199585941,0.5235125067682194,12480.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,24.129033660888673,12.517568261765842,15.540122144907036,35.23594832420349,17.63690411410175,21.895598127338708,36.6613046169281,17.38913861902761,21.588005951587927,40.6,11.414902540100814,14.171201309698482,0.0,0.0,0.0,0.0,0.0,0.0,0.30625,0.061449505015635945,0.07628740612534504,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,AgeCov-Greedy,1.0,5,run/repetition,95% t interval,39.20814647200188,11.306433645934412,14.036540980390152,69.76611928939819,23.14557066723083,28.734414525302075,0.45208333333333334,0.07313954033975816,0.0908001751405555,0.45208333333333334,0.07313954033975816,0.0908001751405555,0.09166666666666666,0.06136115197926309,0.07617771892824772,0.0,0.0,0.0,1372.8666666666666,66.84262196466497,82.98277174085929,131795.2,6416.891708607836,7966.346087122491,1263.49097849375,418.1638441996003,519.1357522127029,1433.0962690000001,442.4664629304356,549.3066013441465,2897.405491,1172.6807021875204,1455.8419788795811,3428.711745,1164.756406865008,1446.0042440536968,3240.3257698,1295.0178164063066,1607.7192171785148,1.4286688530755647,0.6124343309691834,0.7603157506291031,12480.0,0.0,0.0,118.2,4.024922359499621,4.9967999999999995,117.4,5.813776741499453,7.217599999999998,2.6,5.813776741499453,7.217599999999998,38.53592028617859,10.588302197612439,13.145005964191395,57.603022480010985,16.40160450228444,20.36201696750334,58.74493360519409,16.259191547367237,20.185216276814057,62.2,17.8801565988668,22.1975875590119,0.0,0.0,0.0,0.0,0.0,0.0,0.22708333333333333,0.048524227911883815,0.060241127746932334,0.0027243589743589742,0.00032051282051282046,0.0003979054298422701
original_compatible,AgeCov-Greedy,1.2,5,run/repetition,95% t interval,42.61924138839176,8.803015879309784,10.928635590179082,73.599729013443,16.951879859709397,21.045164531702035,0.48541666666666666,0.02398096756921114,0.02977153049102076,0.48541666666666666,0.02398096756921114,0.02977153049102076,0.09583333333333333,0.03712193683584471,0.046085583127722506,0.0,0.0,0.0,1340.1333333333332,11.272754765362343,13.99472983090417,128652.8,1082.1844574747875,1343.4940637668035,1283.7145578291668,284.87484460370143,353.6621321790516,1446.6994176,226.72019245513866,281.46517037428663,2842.8515332,717.0522544761012,890.1952348744478,3532.7840954000003,759.717751117231,943.1629531493667,3266.2502654,857.7681542664822,1064.8890911206558,1.2957236672152803,0.31796201674093294,0.39473869638782605,12480.0,0.0,0.0,102.8,19.879637823662684,24.67987339999944,100.4,21.651789764358973,26.87993790469018,19.6,21.651789764358973,26.87993790469018,50.80943260192871,9.251961720091872,11.485986111966245,79.41441111564636,19.97352034638677,24.796425260544158,81.77341108322143,21.543382024686764,26.745353496542382,74.4,7.569676347110225,9.39748780047093,0.0,0.0,0.0,0.0,0.0,0.0,0.18958333333333333,0.017116329922036436,0.021249323518644062,0.002371794871794872,0.0004692804636008436,0.0005825952431073013
original_compatible,StaticSemantic,0.5,5,run/repetition,95% t interval,8.605928787333394,2.1374918785692407,2.6536212291465406,31.701880121231078,10.36351815655128,12.865944457893411,0.058333333333333334,0.013975424859373682,0.017349999999999994,0.058333333333333334,0.013975424859373682,0.017349999999999994,0.06458333333333333,0.04061164310337068,0.05041793111362045,0.0,0.0,0.0,1660.9666666666667,32.644422698729606,40.52690630317919,159452.8,3133.864579078043,3890.5830051052035,1104.8476943791668,226.02275328206403,280.5993240923592,1101.3719682,195.0704948851113,242.1731804444303,2489.7158374,691.9982587324511,859.0915775240401,3231.5639596,971.2919387241765,1205.8248895067713,2950.5904418,820.2979786297693,1018.371181730522,1.4993017678481761,0.3350343142063616,0.4159333551553207,12480.0,0.0,0.0,108.4,2.073644135332772,2.574356494349607,108.4,2.073644135332772,2.574356494349607,11.6,2.073644135332772,2.574356494349607,0.502638292312622,1.115236073555305,1.3845264863777236,1.245950412750244,1.913413814096364,2.3754361680321523,1.7789589881896972,2.0725495108402985,2.572997556418523,3.2,0.4472135954999579,0.5551999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.48125,0.022582795196540408,0.028035748508724423,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
original_compatible,StaticSemantic,0.8,5,run/repetition,95% t interval,18.027964162556152,8.696454617561379,10.796343519638215,46.870507669448855,13.322918937495373,16.539936774122793,0.14166666666666666,0.05492260969360028,0.06818449440875672,0.14166666666666666,0.05492260969360028,0.06818449440875672,0.12083333333333332,0.05134898976610932,0.06374797055593219,0.0,0.0,0.0,1570.6333333333334,86.44148631042596,107.31407471165085,150780.8,8298.38268580089,10302.15117231848,1200.01142478125,271.0230283815145,336.465587968537,1209.697074,234.94953398230334,291.6816093686648,2685.149622,634.2872245617859,787.4453518860802,3314.9901338,1055.0163869482283,1309.7658566905338,3188.1182605999998,871.467175084668,1081.8959451939406,1.3897664187093113,0.32990884007319643,0.4095702587124408,12480.0,0.0,0.0,88.6,6.985699678629192,8.672501240126747,88.6,6.985699678629192,8.672501240126747,31.4,6.985699678629192,8.672501240126747,6.501357364654541,4.621002084820686,5.736812081091318,10.806473541259766,6.617860479115789,8.215841769965671,11.572883129119873,6.757337076696991,8.388997075967744,10.2,4.658325879540846,5.783148263705504,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.04382434159992216,0.05440638366343912,0.0028044871794871795,0.0002657551915348878,0.00032992575320797365
