workload,baseline,rho,n_pairs,delta_state_age_s_baseline_minus_adaptive_mean,delta_state_age_s_baseline_minus_adaptive_std,delta_state_age_s_baseline_minus_adaptive_ci95,delta_p95_state_age_s_baseline_minus_adaptive_mean,delta_p95_state_age_s_baseline_minus_adaptive_std,delta_p95_state_age_s_baseline_minus_adaptive_ci95,delta_view_missing_baseline_minus_adaptive_mean,delta_view_missing_baseline_minus_adaptive_std,delta_view_missing_baseline_minus_adaptive_ci95,delta_cached_tokens_adaptive_minus_baseline_mean,delta_cached_tokens_adaptive_minus_baseline_std,delta_cached_tokens_adaptive_minus_baseline_ci95,delta_ttft_ms_baseline_minus_adaptive_mean,delta_ttft_ms_baseline_minus_adaptive_std,delta_ttft_ms_baseline_minus_adaptive_ci95,delta_p95_ttft_ms_baseline_minus_adaptive_mean,delta_p95_ttft_ms_baseline_minus_adaptive_std,delta_p95_ttft_ms_baseline_minus_adaptive_ci95,delta_forwarded_bytes_baseline_minus_adaptive_mean,delta_forwarded_bytes_baseline_minus_adaptive_std,delta_forwarded_bytes_baseline_minus_adaptive_ci95
original_compatible,AgeCov-Greedy,0.5,5,0.9120672276838995,2.235786420548755,2.775650456916365,-1.0514914512634277,4.148932783517495,5.150754593750112,0.027083333333333327,0.06653633092779712,0.08260252215681227,23.566666666666652,79.55183495334623,98.76081409538001,-51.87335668750004,179.61058346554373,222.98024242440374,-151.3540289999999,136.9058760583033,169.96384535804464,1164.8,186.0408557279825,230.96319999999994
original_compatible,AgeCov-Greedy,0.8,5,15.624549627085935,7.872301065503074,9.7731857786683,12.80489249229431,4.471365387559449,5.551043367538318,0.1875,0.062064454624025954,0.07705084450470927,132.13333333333335,59.8425480369574,74.29242537444698,82.92014998541663,98.2310632082588,121.95042110080574,48.94586280000008,104.28229371027535,129.46281161962196,3868.8,1407.654503065294,1747.5537147482016
original_compatible,AgeCov-Greedy,1.0,5,14.086796306616925,5.821168160726376,7.226776187835254,10.942413997650146,8.960265818467471,11.123855876634696,0.19791666666666663,0.07438987946398802,0.09235242732778241,93.0333333333333,50.60047759985408,62.818718943533604,46.81308716874996,191.19218343020316,237.35839274246473,258.8457638000001,579.1089430761309,718.9434499110573,5990.4,902.4659550365321,1120.379843721298
original_compatible,AgeCov-Greedy,1.2,5,13.330015003233019,4.123701391389122,5.1194307050073915,12.291510438919067,12.349950581596362,15.332030671466793,0.17083333333333334,0.01892281471310934,0.02349201105340567,87.2666666666667,81.92210053188064,101.70341571224527,14.255312029166726,213.58375831643718,265.15674793991604,-11.492205800000011,366.3793650123684,454.8471368082236,5470.4,1912.8650762664888,2374.7549292545027
original_compatible,FullSync,0.5,5,0.3113108570413713,1.139646557982704,1.4148312469897992,-0.23455867767333985,1.8183624993856768,2.2574332932126224,0.0,0.0,0.0,-5.4,10.291987174496478,12.777141251469358,-11.512485600000014,82.834211701134,102.83576975126624,15.925015600000052,160.96989947585473,199.83848677293386,1164.8,186.0408557279825,230.96319999999994
original_compatible,FullSync,0.8,5,16.12004077718496,4.47274463448502,5.552755654241545,10.799913692474366,12.369048380114549,15.355739918779465,0.23333333333333334,0.07313954033975814,0.09080017514055548,129.06666666666675,48.22467671684746,59.869245440227736,9.438412158333335,55.546349019953176,68.95884491481408,73.00049220000001,226.73964291520457,281.48931743854683,3868.8,1407.654503065294,1747.5537147482016
original_compatible,FullSync,1.0,5,16.71795069175934,4.930993298937304,6.1216553054685665,14.170963573455811,7.2296080989298,8.97530499277096,0.22083333333333333,0.050711089352658695,0.06295603955671503,110.86666666666665,73.42318359271067,91.15230829487784,42.26389262708331,138.20427151796827,171.57575780091236,130.04353619999998,402.73960044110027,499.9870943434229,5782.4,1154.821544655277,1433.670460925578
original_compatible,FullSync,1.2,5,10.543566234523766,4.683958230903775,5.814969929280739,7.815595531463623,11.373625153359587,14.119956881198696,0.17916666666666667,0.04504530898008263,0.05592217186014468,75.63333333333335,56.77237689033088,70.48091553270918,-77.29749456458333,164.23273685475874,203.8891849873795,-72.21302360000008,356.43682980542627,442.5038279230741,4014.4,1858.3726214083117,2307.104456993172
original_compatible,LatestOnly,0.5,5,-0.150179538729612,0.7146265767593731,0.8871838410307034,-2.1204541683197022,2.372263217322182,2.9450816153852797,-0.002083333333333334,0.004658474953124564,0.005783333333333335,-9.633333333333349,8.95389424899705,11.115945796517337,-18.796001733333355,141.3068055218198,175.4274449952891,-63.459150200000025,187.9721447716842,233.3608276389014,540.8,154.25692853158978,191.50456869495304
original_compatible,LatestOnly,0.8,5,4.3557320063270435,4.158460437167234,5.162582841727281,-1.445125436782837,12.943301189638687,16.068654649136388,0.0062500000000000056,0.047507309379130745,0.05897865904055653,-1.9999999999999545,37.12366720391007,46.087731319010864,88.1322454875,120.16859880554871,149.18510243914736,210.09523120000003,263.6109916470643,327.26380422051335,436.8,1291.4438431461122,1603.2822546755262
