experiment,N,B,policy,offered_Bps_mean,offered_Bps_ci95,offered_msgs_mean,offered_msgs_ci95,tx_bytes_mean,tx_bytes_ci95,tx_msgs_mean,tx_msgs_ci95,utilization_mean,utilization_ci95,q_max_mean,q_max_ci95,q_p95_mean,q_p95_ci95,qdelay_mean_mean,qdelay_mean_ci95,qdelay_p50_mean,qdelay_p50_ci95,qdelay_p95_mean,qdelay_p95_ci95,age_delivery_p50_mean,age_delivery_p50_ci95,age_delivery_p95_mean,age_delivery_p95_ci95,tombstone_delay_p95_mean,tombstone_delay_p95_ci95,requests_mean,requests_ci95,valid_hits_mean,valid_hits_ci95,fallbacks_mean,fallbacks_ci95,cold_misses_mean,cold_misses_ci95,valid_hit_rate_mean,valid_hit_rate_ci95,cold_miss_rate_mean,cold_miss_rate_ci95,stale_fallback_rate_mean,stale_fallback_rate_ci95,saved_prefill_total_mean,saved_prefill_total_ci95,saved_prefill_mean_mean,saved_prefill_mean_ci95,age_use_p95_mean,age_use_p95_ci95,msgs_dropped_mean,msgs_dropped_ci95,msgs_merged_mean,msgs_merged_ci95,msgs_withdrawn_mean,msgs_withdrawn_ci95,msgs_filtered_mean,msgs_filtered_ci95
e3_dispatch,128,16384,exact_fifo,6811.612444444444,15.659877694219157,31929.433333333334,73.4056766916523,2043481.6,4697.414322526702,31929.4,73.39709878947971,0.41574739583333337,0.0009556913904880171,1803.1,18.065184402442533,1521.3033333333335,11.89841171268019,1.939388246409126,0.018856893952163143,0.8279613234131336,0.027818789973251462,6.060212856963954,0.04760430950825992,0.8318884433772666,0.027819415617833458,6.064118569178793,0.047605059497802645,5.883658091247775,0.048328960571901204,6009.666666666667,25.404362741142016,2599.8,23.539349976864983,96.7,4.177783865039993,3313.1666666666665,29.865481756308544,0.4326231414466927,0.0038058935574172043,0.5512837779650563,0.0039628342879136315,0.03585397978423479,0.0014938535860863644,17079585.7,226511.72370002998,2842.0096136441935,35.61381510409606,79.79710776371266,1.6589641778401862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e3_dispatch,128,16384,local_topk,6811.612444444444,15.659877694219157,31929.433333333334,73.4056766916523,1384110.9333333333,9539.898750059094,21626.733333333334,149.06091796967334,0.28159809027777777,0.0019408973693967881,1058.5666666666666,22.85775026355637,684.5166666666667,10.432923122999693,0.8565817011736254,0.011839555793971748,0.004454707547625129,0.00045012552656830556,2.815151033993892,0.04387313732281944,0.008360707323938617,0.00045000561851362406,2.8190562741302077,0.043872880099878574,2.6722561126221245,0.04294395631158387,6009.666666666667,25.404362741142016,2027.1333333333334,17.97053800698622,36.766666666666666,2.2923945184789836,3945.766666666667,24.137295765707186,0.3373177433720681,0.002723605691119643,0.6565652882233111,0.002749880531659468,0.017810269201911352,0.0010986741117873637,14935844.566666666,194556.3716392427,2485.2231094303265,29.661475127077228,81.95435325725593,2.181621066897084,0.0,0.0,0.0,0.0,0.0,0.0,10302.7,190.1104718244982
e3_dispatch,128,16384,agg_static,7062.464000000001,17.749107984835298,33105.3,83.19894367891553,1734805.3333333333,5084.337181048347,27106.333333333332,79.44276845388042,0.3529470486111111,0.0010344110475765675,1574.5333333333333,34.226815271316994,1313.236666666667,18.59653744205817,0.8504711048585729,0.017889789899613148,0.0023358764438437874,6.69041676210545e-05,3.7632812257977277,0.07481425761670947,0.006242157809929102,6.693602804318359e-05,3.767189609427931,0.07481518428807143,1.6983400526330497,0.040717096213757416,6009.666666666667,25.404362741142016,2602.266666666667,23.42146732612652,18.666666666666668,1.6478026701783024,3388.733333333333,29.09408619820895,0.43303143818373085,0.0037470680339068553,0.5638634450653226,0.003875250862214003,0.007104370319194779,0.0005951913972660286,17121008.2,222691.88128947993,2848.9113105223923,35.058094503112315,75.55730708874717,1.6382621927825862,2174.9666666666667,34.97491050404966,3824.0,43.80366208382608,1175.8666666666666,16.907393415976497,0.0,0.0
e3_dispatch,128,16384,agg_adaptive,6978.360888888888,16.66342967560419,32711.066666666666,78.10982660439456,1491805.8666666667,3705.962397094644,23309.466666666667,57.905662454603814,0.3035086805555556,0.000753979979877656,577.2,10.726106538314095,306.42166666666674,9.689664261467552,0.17413566680549566,0.00525301128926773,0.0,0.0,1.2932128503939804,0.03432556115332222,0.00390625,0.0,1.297118711921405,0.03432754787339636,1.6881451702228043,0.039443989950238005,6009.666666666667,25.404362741142016,2308.9666666666667,22.84404627651426,16.333333333333332,1.7173768645871406,3684.366666666667,29.01426624413969,0.38422387096087723,0.0036698354543096474,0.6130600146823303,0.00377130732439051,0.007004596288329953,0.0007051069995470876,15317599.766666668,195130.60833488865,2548.8135459132473,30.501924711000978,81.31822723627764,1.8886233454223564,9226.633333333333,66.45616349771666,174.96666666666667,6.643655252277251,781.6333333333333,12.126330605821606,0.0,0.0
e3_dispatch,128,32768,exact_fifo,6811.612444444444,15.659877694219157,31929.433333333334,73.4056766916523,2043483.7333333334,4697.963308265747,31929.433333333334,73.4056766916523,0.20787391493055554,0.000477901540961278,573.5333333333333,13.598558913958438,529.2,14.500753198035778,0.34309522191353187,0.008145114768558557,0.001097387597842925,4.0692979461021237e-05,1.0458009662632026,0.027973342407103554,0.003050479649127761,4.0678425575095136e-05,1.0477541887125381,0.027973394290582293,1.0387733653615736,0.026742873562456675,6009.666666666667,25.404362741142016,2692.133333333333,22.684468572603944,19.7,1.8242958899950616,3297.8333333333335,28.16056579374347,0.4479856891258278,0.0036048020705904886,0.5487374524233635,0.0037173894506973715,0.007249250227117926,0.0006440029879038764,17711510.033333335,224733.45681029107,2947.142027651155,34.88473936897728,78.44197602470881,1.6844705849847343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e3_dispatch,128,32768,local_topk,6811.612444444444,15.659877694219157,31929.433333333334,73.4056766916523,1384110.9333333333,9539.898750059094,21626.733333333334,149.06091796967334,0.14079904513888888,0.0009704486846983941,274.56666666666666,4.005564575797178,158.63333333333333,3.4759032145743243,0.0495515936167653,0.001450726487917254,0.0,0.0,0.33994531128520844,0.006400686140804687,0.001953125,0.0,0.3418967025932094,0.006400648647320066,0.4143378083630957,0.0064729201964989855,6009.666666666667,25.404362741142016,2067.3,17.986929286274112,3.533333333333333,0.7240098642455808,3938.8333333333335,24.328595956734816,0.3440026305993433,0.0027363605868575103,0.655409469699341,0.002729387027809819,0.0017073172272906898,0.00035164938777605193,15234302.8,194429.4018464742,2534.891869662411,29.606765555486007,81.37277069113186,2.1480803374686563,0.0,0.0,0.0,0.0,0.0,0.0,10302.7,190.1104718244982
e3_dispatch,128,32768,agg_static,7062.464000000001,17.749107984835298,33105.3,83.19894367891553,1898615.4666666666,3537.2528639903253,29665.866666666665,55.26957599984883,0.19313715277777777,0.00035982796874901624,561.6333333333333,10.841485230708145,466.56666666666666,11.881796701603573,0.17549801054572953,0.005795591942572023,0.0004281515637379959,2.5108949204885964e-05,0.9016696812733914,0.022036583901476937,0.0023812632183373593,2.5106825989638516e-05,0.9036223679255794,0.022036596361824982,0.7841727736876328,0.01883039945274657,6009.666666666667,25.404362741142016,2660.8333333333335,23.793819154597397,6.066666666666666,1.0771455395674074,3342.766666666667,28.02732898618092,0.4427726725156122,0.003719958307549852,0.5562180952136331,0.0037496488535996735,0.002270669463949901,0.00039917889983402075,17545536.566666666,227577.91045614603,2919.522208910038,35.41597423420128,73.82311275233958,1.5123208853870747,2174.9666666666667,34.97491050404966,1264.4666666666667,25.96692222912912,1175.8666666666666,16.907393415976497,0.0,0.0
e3_dispatch,128,32768,agg_adaptive,7036.6720000000005,17.74935124596798,32984.4,83.20008396547487,1844392.5333333334,3484.0463971254967,28818.633333333335,54.438224955085886,0.18762131076388888,0.00035441552705134063,556.0333333333333,10.986289289495813,175.14666666666648,7.278781594191128,0.05278147704803212,0.00171966136507898,1.3229980586615397e-06,2.725376000842772e-06,0.44914702793264805,0.016608928969964732,0.0019544479980586615,2.725376000842772e-06,0.451100052803336,0.01660894265463759,0.7839335184678646,0.018674254527964323,6009.666666666667,25.404362741142016,2606.633333333333,22.767905636336735,5.933333333333334,0.992292936602217,3397.1,27.774126372761298,0.433756218814412,0.0035985907124527717,0.5652566833294387,0.003612273374290429,0.002269092827534837,0.0003769204040780009,17212753.8,217953.597384567,2864.1646272859102,34.030486629745916,75.92291255182168,1.5666395782812446,4093.0666666666666,61.96520534024105,72.7,3.8862354623678574,1054.9666666666667,16.75634055139515,0.0,0.0
e3_dispatch,128,65536,exact_fifo,6811.612444444444,15.659877694219157,31929.433333333334,73.4056766916523,2043483.7333333334,4697.963308265747,31929.433333333334,73.4056766916523,0.10393695746527777,0.000238950770480639,552.0333333333333,10.831132339455062,210.76333333333363,9.274822425506247,0.029807028660188927,0.0010989290242763344,0.0,0.0,0.2722405412498162,0.008827913120189023,0.0009765625,0.0,0.2732161069047378,0.008828101075905925,0.39800815553001295,0.009662885614592186,6009.666666666667,25.404362741142016,2713.133333333333,23.34675023649681,3.033333333333333,0.6437717046149476,3293.5,28.52381230263343,0.4514811866898414,0.003735589484774326,0.5480137630228351,0.0037428026048492175,0.0011166978758753903,0.00023637909090255295,17850374.0,229275.69899153613,2970.2494876205137,35.66506906232978,78.1624345724455,1.6724329809136358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e3_dispatch,128,65536,local_topk,6811.612444444444,15.659877694219157,31929.433333333334,73.4056766916523,1384110.9333333333,9539.898750059094,21626.733333333334,149.06091796967334,0.07039952256944444,0.00048522434234919703,273.6666666666667,3.956123998072179,47.81666666666667,4.05163130601085,0.010595842753656865,0.0002801596793112961,0.0,0.0,0.09955474390904545,0.003258044165176544,0.0009765625,0.0,0.10053090910807341,0.0032581826986383807,0.1941710771428999,0.002807504443937568,6009.666666666667,25.404362741142016,2069.766666666667,17.904990827598837,1.0666666666666667,0.472994601153445,3938.8333333333335,24.32598941453705,0.34441338882632777,0.0027259865843380195,0.6554092978323408,0.002723179332778938,0.0005149983579429873,0.0002271427536168266,15252968.866666667,193938.28346192554,2537.998198314403,29.51226017062757,81.340044962102,2.172128746353096,0.0,0.0,0.0,0.0,0.0,0.0,10302.7,190.1104718244982
