policy,load,n_reps,ttft_p50_mean,ttft_p50_std,ttft_p50_ci95_low,ttft_p50_ci95_high,ttft_p95_mean,ttft_p95_std,ttft_p95_ci95_low,ttft_p95_ci95_high,ttft_p99_mean,ttft_p99_std,ttft_p99_ci95_low,ttft_p99_ci95_high,tpot_p50_mean,tpot_p50_std,tpot_p50_ci95_low,tpot_p50_ci95_high,tpot_p95_mean,tpot_p95_std,tpot_p95_ci95_low,tpot_p95_ci95_high,tpot_p99_mean,tpot_p99_std,tpot_p99_ci95_low,tpot_p99_ci95_high,cache_hit_rate_mean,cache_hit_rate_std,cache_hit_rate_ci95_low,cache_hit_rate_ci95_high,load_stdev_mean,load_stdev_std,load_stdev_ci95_low,load_stdev_ci95_high,sla_success_rate_mean,sla_success_rate_std,sla_success_rate_ci95_low,sla_success_rate_ci95_high,workflow_completion_p50_mean,workflow_completion_p50_std,workflow_completion_p50_ci95_low,workflow_completion_p50_ci95_high,workflow_completion_p95_mean,workflow_completion_p95_std,workflow_completion_p95_ci95_low,workflow_completion_p95_ci95_high,workflow_completion_p99_mean,workflow_completion_p99_std,workflow_completion_p99_ci95_low,workflow_completion_p99_ci95_high,state_size_p95_mean,state_size_p95_std,state_size_p95_ci95_low,state_size_p95_ci95_high,state_traffic_Bps_mean,state_traffic_Bps_std,state_traffic_Bps_ci95_low,state_traffic_Bps_ci95_high,dispatch_decision_p95_mean,dispatch_decision_p95_std,dispatch_decision_p95_ci95_low,dispatch_decision_p95_ci95_high,failure_rate_mean,failure_rate_std,failure_rate_ci95_low,failure_rate_ci95_high
round-robin,balanced,3,112.176427,5.413548115047008,106.05042061547297,118.30243338452703,2889.8750216666667,4586.548846222241,-2300.293591928179,8080.0436352615125,4988.615018666666,7217.751617539919,-3179.03982642117,13156.269863754504,49.58341505208333,2.8794975128206457,46.32495687033393,52.841873233832736,63.60025229513889,0.8523314179584914,62.63574849888855,64.56475609138923,276.73607091600525,367.32126596374144,-138.92707137914562,692.3992132111562,0.8627505934793949,0.042161209732829025,0.815040693333721,0.9104604936250688,0.5059277489252977,0.008767751401622281,0.49600610420674557,0.5158493936438497,0.9638888888888889,0.055486067653994935,0.9011004925401257,1.0266772852376522,15493.193599666665,975.236175017065,14389.60997805432,16596.777221279008,29990.893661000002,16797.97155631922,10982.199397234068,48999.58792476593,30698.017859666666,16300.979593874008,12251.722944774265,49144.31277455907,363,0.0,363.0,363.0,13622.350337833326,95.33511620831852,13514.468498021377,13730.232177645275,71.21866666666666,3.7408031668791915,66.98554938451578,75.45178394881755,0.0,0.0,0.0,0.0
coarse,balanced,3,95.95636966666666,6.62528647730808,88.45915224164753,103.45358709168579,611.362831,729.0138627822089,-213.59401484374325,1436.3196768437433,2509.0063763333333,3895.8223520282068,-1899.531627637221,6917.544380303887,43.24123696706989,1.7439276242925528,41.26779708373813,45.214676850401645,64.00424439583334,3.598004328275546,59.9327192115817,68.07576958008498,98.37981604166666,49.40026027744607,42.47815904599336,154.28147303733996,0.9251261401180406,0.004099282125752449,0.9204873657060173,0.9297649145300639,0.7069965599787345,0.045192605002262846,0.6558563131583982,0.7581368067990707,0.9944444444444445,0.009622504486493792,0.9835555555555555,1.0053333333333334,13942.716024,1410.9582776139255,12346.066426864367,15539.365621135632,17543.259169333334,3757.1587580482305,13291.633793452615,21794.884545214052,18449.758326333333,3830.980654794315,14114.59561021407,22784.921042452595,363,0.0,363.0,363.0,13543.388010261873,23.015434723557142,13517.343594092876,13569.43242643087,113.97,13.317251180329968,98.90011163449444,129.03988836550556,0.0,0.0,0.0,0.0
rich,balanced,3,83.87629833333334,2.79267060141262,80.71609405130562,87.03650261536106,207.09675733333333,12.704052875300555,192.72076817251946,221.4727464941472,243.81884333333335,33.31541384098827,206.11890356078695,281.5187831058797,44.81212296412037,1.7339229030931633,42.850004488604775,46.774241439635965,62.825964704861114,2.0229719538624322,60.53675643669506,65.11517297302717,68.31600645486111,5.484797852204287,62.10937340267629,74.52263950704594,0.9622641699112645,0.005336118587563815,0.9562257832854674,0.9683025565370617,0.7476513336535493,0.03809291677161535,0.7045451403790214,0.7907575269280772,1.0,0.0,1.0,1.0,14110.931415,156.67533851164438,13933.636579224454,14288.226250775544,15850.660976000001,587.351746359007,15186.009905816038,16515.312046183964,16450.341244333333,1086.4704483659816,15220.884192905214,17679.79829576145,2510.3333333333335,17.925772879665004,2490.0484117302203,2530.6182549364466,41628.271752578534,816.6327003919788,40704.164858153825,42552.37864700324,112.74033333333334,10.80378476892859,100.51469996590225,124.96596670076443,0.0,0.0,0.0,0.0
sketch,balanced,3,79.87209800000001,1.2922997411254897,78.40972317731153,81.33447282268848,181.061646,21.08139782813457,157.20579860650452,204.91749339349548,233.603996,22.946792050581696,207.63725632781424,259.5707356721857,47.89558534375,0.4874096584229702,47.344029392657596,48.4471412948424,67.96134502083333,5.044473354986631,62.25298604396734,73.66970399769933,73.82150248958332,6.3183565287039585,66.67160899792414,80.97139598124251,0.9743974937346002,0.002186023695996754,0.9719237750506965,0.9768712124185038,0.7400763798924915,0.057548089960840446,0.674954585641221,0.805198174143762,1.0,0.0,1.0,1.0,14782.897061333333,589.0381955500516,14116.337594236298,15449.456528430368,16047.122439,898.6034970987948,15030.256855948333,17063.988022051668,16582.766272666668,1278.1825577668856,15136.366546818284,18029.16599851505,360,0.0,360.0,360.0,14297.478729318807,7.826706207177629,14288.621977485067,14306.335481152548,110.35266666666666,2.9826270858646287,106.97750638687089,113.72782694646244,0.0,0.0,0.0,0.0
round-robin,imbalanced_2,3,103.531583,2.7692991323529825,100.39782602492004,106.66533997507996,203.34909,22.85213099146109,177.48946940022574,229.20871059977424,288.9504773333333,93.34308200970868,183.32283642375586,394.57811824291076,51.056245,2.4813163034687764,48.24837127392548,53.864118726074516,64.16446232845597,0.388106359165304,63.72527863901691,64.60364601789503,77.27535514583333,21.11952112690608,53.37636717859391,101.17434311307275,0.8778235208526034,0.00879405927660589,0.8678721059709923,0.8877749357342145,0.5148351031912529,0.004013999816419833,0.5102928347971603,0.5193773715853456,1.0,0.0,1.0,1.0,15026.078435666666,469.21718311704484,14495.10920838386,15557.047662949473,16538.027636666666,404.4899002230711,16080.304225221247,16995.751048112084,17308.867979666666,796.0737475670626,16408.025730459496,18209.710228873835,363,0.0,363.0,363.0,13723.13670368482,11.690545275245709,13709.907606340013,13736.365801029628,72.91733333333333,3.221227302338871,69.27217149108574,76.56249517558092,0.0,0.0,0.0,0.0
coarse,imbalanced_2,3,89.60693733333333,2.0053251152609453,87.33769834292043,91.87617632374624,204.08983366666666,16.97742695576295,184.87806650147505,223.30160083185828,272.81353033333335,48.08679137681756,218.39820331942622,327.2288573472405,49.71030590625,1.3427851406760722,48.190801475881,51.229810336618996,68.80921385962301,3.2823866546720932,65.09484369505066,72.52358402419537,72.63414438541666,3.693525640450355,68.45452666078198,76.81376211005134,0.9182835601692574,0.00630996302884764,0.9111431648168251,0.9254239555216897,0.7709264622620785,0.018002465993620674,0.7505547542305903,0.7912981702935667,1.0,0.0,1.0,1.0,15071.688778333333,83.3234237254226,14977.399448142693,15165.978108523974,17446.667233666667,1273.8729774916148,16005.144256989046,18888.190210344288,18073.684963666667,1158.5404421300052,16762.673036850247,19384.696890483086,363,0.0,363.0,363.0,13542.536734610178,9.49622682185187,13531.79074235089,13553.282726869465,114.79166666666666,10.653330246140557,102.7362886193312,126.84704471400211,0.0,0.0,0.0,0.0
rich,imbalanced_2,3,82.377926,0.4765431974029245,81.83866660712992,82.91718539287008,194.76489866666665,14.08822645946396,178.82256964266583,210.70722769066748,263.81364,14.151903399253838,247.79925373527465,279.8280262647254,48.44671651736111,3.3970669953354053,44.60257333070542,52.2908597040168,67.03838501041666,2.901572185097865,63.75494698542347,70.32182303540985,70.15716857152778,3.4685876560788915,66.23209213831565,74.0822450047399,0.9457454147029016,0.003932814425020835,0.9412950162276628,0.9501958131781405,0.7940159545223224,0.019400296987347285,0.7720624518138353,0.8159694572308096,1.0,0.0,1.0,1.0,14510.213658333334,574.9709204360919,13859.572811580965,15160.854505085703,16581.235318,1466.3342870629112,14921.92186709881,18240.54876890119,17465.458593333333,1007.5017312557843,16325.363057664232,18605.554129002434,2481.3333333333335,34.07834111768549,2442.7700600743833,2519.8966065922837,41760.88253797066,349.7932924968655,41365.05416486643,42156.71091107489,115.86233333333334,8.80332950271278,105.90042820334719,125.82423846331949,0.0,0.0,0.0,0.0
sketch,imbalanced_2,3,80.653202,1.9152104308803723,78.48593737466581,82.82046662533418,176.88427366666667,9.4092078614959,166.2367526309429,187.53179470239044,249.38146566666668,35.00443952941144,209.77021339979683,288.99271793353654,50.73809479166667,2.333218129462665,48.09780992602484,53.3783796573085,69.27710713541667,3.841782070708178,64.92972146654184,73.6244928042915,97.93631599061302,48.22367936574368,43.36608563488545,152.5065463463406,0.9493070843407682,0.0019457965424659134,0.9471052082719095,0.9515089604096268,0.7431639521575482,0.03355620574971263,0.7051915306892932,0.7811363736258031,1.0,0.0,1.0,1.0,15379.976145333334,812.4638555585562,14460.586742934729,16299.365547731939,16970.928624666667,598.4437077922101,16293.725818520874,17648.13143081246,17348.254962666666,636.1385771982434,16628.396396243537,18068.113529089795,360,0.0,360.0,360.0,14291.539241319104,5.173270531793065,14285.685134616226,14297.393348021982,112.89466666666667,4.376683828349192,107.9419826772143,117.84735065611903,0.0,0.0,0.0,0.0
round-robin,imbalanced_6,3,97.66981666666666,3.695684542300162,93.48775591460627,101.85187741872706,213.320411,17.376843385492123,193.6566615956915,232.9841604043085,250.24495166666668,15.839972525275181,232.32033535987583,268.1695679734575,55.29403826190476,2.6475742203340165,52.298025991838415,58.290050531971104,64.75396828125,1.0171989036011604,63.602899362055496,65.9050372004445,82.5653349977422,26.902305326956647,52.122510681955944,113.00815931352845,0.844130995782658,0.010313718618596666,0.832459924469904,0.8558020670954121,0.5179748663639511,0.001777802941891497,0.5159630929500995,0.5199866397778027,1.0,0.0,1.0,1.0,15852.313862333333,315.46756392479625,15495.328707746283,16209.299016920382,18842.228744,2637.547842644989,15857.562388374861,21826.895099625137,18911.975443,2606.680864748857,15962.238361049769,21861.712524950228,363,0.0,363.0,363.0,13734.44523820533,4.538764490573719,13729.309142680504,13739.581333730155,73.77033333333333,4.661063219195089,68.49584376888151,79.04482289778514,0.0,0.0,0.0,0.0
coarse,imbalanced_6,3,97.34737866666667,9.35808763677902,86.7577056109255,107.93705172240784,217.242278,27.887918519256694,185.68412736210684,248.80042863789316,257.41217,36.20493298678291,216.4424315004135,298.3819084995865,48.30855302696079,2.982081066803452,44.934010625898836,51.68309542802274,69.59746186458334,1.3928159458130103,68.02134224853972,71.17358148062695,74.66257805277777,0.7464892989265957,73.81784588932018,75.50731021623537,0.8803538396331649,0.0007038343675948969,0.8795573760684371,0.8811503031978928,0.7911790110586966,0.023917352943239264,0.7641139783449349,0.8182440437724583,1.0,0.0,1.0,1.0,15217.336864,544.0437248887073,14601.693433609775,15832.980294390227,16458.357099333334,81.19787535660411,16366.473053551603,16550.241145115066,17546.642470333332,556.522233900609,16916.878277690375,18176.40666297629,363,0.0,363.0,363.0,13538.051949521643,15.236764419244457,13520.809927445145,13555.293971598141,114.00733333333334,11.511851342565768,100.98044720919079,127.03421945747588,0.0,0.0,0.0,0.0
