experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,model,hardware,mode,policy,K,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,observed_reuse_hit_rate,mean_reuse_coverage,saved_prefill_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260715_agenttrace_frozen_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8018074280307379,98314.0,0.0,0.0,384
20260715_agenttrace_frozen_exact_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,exact,inf,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.7961746965161818,99671.0,4.0,4.0,8832
20260715_agenttrace_closed_loop_load_only_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,load_only,inf,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.7939792097836194,98406.0,0.0,0.0,384
20260715_agenttrace_closed_loop_sketch_k8_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k8,8,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.7935968489195635,98304.0,1.0,1.0,896
20260715_agenttrace_closed_loop_sketch_k16_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k16,16,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.7935968489195635,98304.0,1.0,1.0,1408
20260715_agenttrace_closed_loop_exact_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,exact,inf,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.7949340316469476,98688.0,1.0,1.0,8576
20260715_agenttrace_frozen_load_only_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8058417405628697,99452.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8056651868905533,99428.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.806357218283521,99529.0,4.0,4.0,4480
20260715_agenttrace_frozen_exact_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,exact,inf,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8063991533345141,99539.0,4.0,4.0,8832
20260715_agenttrace_closed_loop_load_only_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,load_only,inf,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8042973426091133,98405.0,0.0,0.0,384
20260715_agenttrace_closed_loop_sketch_k8_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k8,8,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8036053112161456,98304.0,1.0,1.0,896
20260715_agenttrace_closed_loop_sketch_k16_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k16,16,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8036053112161456,98304.0,1.0,1.0,1408
20260715_agenttrace_closed_loop_exact_rep2,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,exact,inf,8,2,10,20260715,1043aaf4640a05ffe632de1d12a483f6922fcfac6e2cdcaa3591462ebdb85bff,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8042392954197571,98445.0,1.0,1.0,8576
20260715_agenttrace_frozen_load_only_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8128522729506737,98350.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8126509424184609,98304.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8131349168983526,98476.0,4.0,4.0,4480
20260715_agenttrace_frozen_exact_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,exact,inf,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.813282363463433,98507.0,4.0,4.0,8832
20260715_agenttrace_closed_loop_load_only_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,load_only,inf,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8128184399571173,98353.0,0.0,0.0,384
20260715_agenttrace_closed_loop_sketch_k8_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k8,8,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8126509424184609,98304.0,1.0,1.0,896
20260715_agenttrace_closed_loop_sketch_k16_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k16,16,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8126509424184609,98304.0,1.0,1.0,1408
20260715_agenttrace_closed_loop_exact_rep3,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,exact,inf,8,3,10,20260715,a43ab1c04819e5b5e021267e9042a61b74edbff4f1681bf5313f6b998b9c5e9c,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8134427819117436,98490.0,1.0,1.0,8576
20260715_agenttrace_frozen_load_only_rep4,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,4,10,20260715,f117c7bca95f04d484471f8ec446ba4f0a8b0ef68e7140e06d1ef9d936c6174d,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8147368911229235,98659.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep4,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,4,10,20260715,f117c7bca95f04d484471f8ec446ba4f0a8b0ef68e7140e06d1ef9d936c6174d,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8143546636872859,98596.0,4.0,4.0,2432
