experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,model,hardware,mode,policy,K,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,observed_reuse_hit_rate,mean_reuse_coverage,saved_prefill_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260715_agenttrace_frozen_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8018074280307379,98314.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8017778352277076,98304.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8025535298570742,98461.0,4.0,4.0,4480
20260715_agenttrace_frozen_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,exact,inf,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8027135659866879,98499.0,4.0,4.0,8832
20260715_agenttrace_closed_loop_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,load_only,inf,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8017778352277076,98304.0,0.0,0.0,384
20260715_agenttrace_closed_loop_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k8,8,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8017778352277076,98304.0,1.0,1.0,896
20260715_agenttrace_closed_loop_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k16,16,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8040443938870383,99797.0,1.0,1.0,1408
20260715_agenttrace_closed_loop_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,exact,inf,8,0,10,20260715,907f975a629a4d903b8adf910cda3ead32c7bf6a46569fb6dda01ae43e8a1644,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.8046462485557185,99928.0,1.0,1.0,8576
20260715_agenttrace_frozen_load_only_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.7936761061659403,98325.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.795646590622757,99561.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,anon8231489123/ShareGPT_Vicuna_unfiltered: V3 unfiltered cleaned split (8k multi-turn subset),https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,51943822e63b4a003d17ea84a08463775a71eba9d7e828d28b20cdf1cba245f2,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,1,10,20260715,9c50b6f96f31c017021cfd05c7de015b9c2b1013d1b22d5183edb61796293b03,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.795646590622757,99561.0,4.0,4.0,4480
