experiment,scenario,policy_family,state_interface,n_instances,n_requests,n_prefixes,capacity_per_instance,reuse_hit_rate,hash_candidate_hit_rate,visible_affinity_hit_rate,visible_affinity_chosen_rate,fallback_rate,ttft_p50_ms,ttft_p95_ms,saved_ms_total,candidate_fanout_p95,load_imbalance_p95,decision_p95_us,resident_entries_end,advertised_entries_end,metadata_snapshot_bytes_end,restart_count,remap_count,evictions_est,claim_relevance
sota_policy_matrix,stable,dualmap,load_only,64,15000,1600,256,0.9424,0.9447,0.0,0.0,0.0,45.0,150.0,1484280.0,2,1,21.701,864,0,6144,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,exact_affinity,64,15000,1600,256,0.944,0.9441,0.9441,0.944,0.0001,45.0,150.0,1486800.0,2,1,21.698,840,840,59904,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K2,64,15000,1600,256,0.9432,0.9438,0.8507,0.8507,0.0,45.0,150.0,1485540.0,2,1,21.696,852,123,14016,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K4,64,15000,1600,256,0.9429,0.9435,0.8975,0.8974,0.0001,45.0,150.0,1485015.0,2,1,21.697,857,231,20928,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K8,64,15000,1600,256,0.9426,0.9428,0.9256,0.9255,0.0001,45.0,150.0,1484595.0,2,1,21.693,861,420,33024,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K16,64,15000,1600,256,0.9426,0.9426,0.9398,0.9398,0.0,45.0,150.0,1484595.0,2,1,21.7,861,708,51456,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,load_only,64,15000,1600,256,0.7303,0.7601,0.0,0.0,0.0,45.0,150.0,1150275.0,2,1,21.702,4045,0,6144,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,exact_affinity,64,15000,1600,256,0.9434,0.0374,0.9436,0.9434,0.0002,45.0,150.0,1485855.0,4,1,21.696,849,849,60480,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K2,64,15000,1600,256,0.8754,0.0402,0.8717,0.8716,0.0001,45.0,150.0,1378755.0,4,1,21.696,1869,125,14144,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K4,64,15000,1600,256,0.9047,0.0354,0.9026,0.9026,0.0,45.0,150.0,1424850.0,3,1,21.7,1430,236,21248,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K8,64,15000,1600,256,0.931,0.0319,0.9305,0.9305,0.0001,45.0,150.0,1466325.0,4,1,21.701,1035,445,34624,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K16,64,15000,1600,256,0.9419,0.0385,0.942,0.9419,0.0001,45.0,150.0,1483545.0,4,1,21.697,871,701,51008,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,load_only,64,15000,1600,256,0.9427,0.9455,0.0,0.0,1.0,45.0,150.0,1484805.0,2,1,21.697,859,0,6144,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,exact_affinity,64,15000,1600,256,0.9444,0.9444,0.9444,0.9444,0.0556,45.0,150.0,1487430.0,2,1,21.702,834,834,59520,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K2,64,15000,1600,256,0.9428,0.9437,0.8517,0.8517,0.1483,45.0,150.0,1484910.0,2,1,21.698,858,122,13952,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K4,64,15000,1600,256,0.9431,0.9435,0.8987,0.8986,0.1014,45.0,150.0,1485435.0,2,1,21.69,853,234,21120,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K8,64,15000,1600,256,0.944,0.9441,0.9271,0.9271,0.0729,45.0,150.0,1486800.0,2,1,21.691,840,427,33472,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K16,64,15000,1600,256,0.9444,0.9444,0.9421,0.9421,0.0579,45.0,150.0,1487430.0,2,1,21.696,834,711,51648,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,dualmap,load_only,64,15000,1600,24,0.8019,0.8167,0.0,0.0,0.0,45.0,150.0,1263045.0,2,1,21.702,1250,0,6144,0,0,1721,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,dualmap,exact_affinity,64,15000,1600,24,0.8179,0.8179,0.8179,0.8179,0.0,45.0,150.0,1288140.0,2,1,21.699,1163,1163,80576,0,0,1569,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,dualmap,sketch_K2,64,15000,1600,24,0.8049,0.8164,0.3941,0.3941,0.0,45.0,150.0,1267770.0,2,1,21.698,1231,127,14272,0,0,1695,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,dualmap,sketch_K4,64,15000,1600,24,0.8069,0.815,0.5017,0.5017,0.0,45.0,150.0,1270815.0,2,1,21.698,1228,252,22272,0,0,1669,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,dualmap,sketch_K8,64,15000,1600,24,0.8107,0.8159,0.6231,0.6231,0.0,45.0,150.0,1276905.0,2,1,21.696,1203,487,37312,0,0,1636,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,dualmap,sketch_K16,64,15000,1600,24,0.8118,0.8137,0.7404,0.7403,0.0001,45.0,150.0,1278585.0,2,1,21.688,1177,877,62272,0,0,1646,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,power2,load_only,64,15000,1600,24,0.1038,0.1597,0.0,0.0,0.0,150.0,150.0,163485.0,2,1,21.698,1509,0,6144,0,0,11934,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,power2,exact_affinity,64,15000,1600,24,0.8434,0.0268,0.8434,0.8434,0.0,45.0,150.0,1328355.0,3,1,21.694,1317,1317,90432,0,0,1032,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,power2,sketch_K2,64,15000,1600,24,0.4144,0.0323,0.4047,0.4047,0.0,150.0,150.0,652680.0,3,1,21.691,1477,128,14336,0,0,7307,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,power2,sketch_K4,64,15000,1600,24,0.5097,0.0305,0.5027,0.5027,0.0,45.0,150.0,802830.0,3,1,21.698,1464,254,22400,0,0,5890,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,power2,sketch_K8,64,15000,1600,24,0.6093,0.027,0.6054,0.6054,0.0,45.0,150.0,959595.0,3,1,21.695,1426,497,37952,0,0,4435,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,power2,sketch_K16,64,15000,1600,24,0.7507,0.0257,0.7495,0.7495,0.0,45.0,150.0,1182405.0,3,1,21.698,1401,964,67840,0,0,2338,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,slo_affinity,load_only,64,15000,1600,24,0.7979,0.8099,0.0,0.0,1.0,45.0,150.0,1256745.0,2,1,21.694,1244,0,6144,0,0,1787,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,slo_affinity,exact_affinity,64,15000,1600,24,0.8119,0.8119,0.8119,0.8119,0.1881,45.0,150.0,1278690.0,2,1,21.697,1164,1164,80640,0,0,1658,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,slo_affinity,sketch_K2,64,15000,1600,24,0.8075,0.8184,0.4038,0.4038,0.5962,45.0,150.0,1271865.0,2,1,21.692,1234,128,14336,0,0,1653,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,slo_affinity,sketch_K4,64,15000,1600,24,0.8137,0.8197,0.5056,0.5056,0.4944,45.0,150.0,1281630.0,2,1,21.695,1204,254,22400,0,0,1590,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,slo_affinity,sketch_K8,64,15000,1600,24,0.8119,0.8159,0.6216,0.6215,0.3785,45.0,150.0,1278795.0,2,1,21.695,1182,477,36672,0,0,1639,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,slo_affinity,sketch_K16,64,15000,1600,24,0.8173,0.8186,0.7461,0.7461,0.2539,45.0,150.0,1287195.0,2,1,21.701,1170,871,61888,0,0,1571,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,dualmap,load_only,64,15000,1600,96,0.8654,0.8726,0.0,0.0,0.0,45.0,150.0,1363005.0,2,1,21.696,1786,0,6144,8,6,233,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,dualmap,exact_affinity,64,15000,1600,96,0.9407,0.2099,0.9408,0.9407,0.0001,45.0,150.0,1481550.0,4,1,21.695,762,762,54912,8,6,128,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,dualmap,sketch_K2,64,15000,1600,96,0.9009,0.2392,0.8705,0.8703,0.0002,45.0,150.0,1418865.0,5,1,21.697,1293,126,14208,8,6,194,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,dualmap,sketch_K4,64,15000,1600,96,0.9159,0.2117,0.9058,0.9056,0.0002,45.0,150.0,1442595.0,4,1,21.698,1105,239,21440,8,6,156,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,dualmap,sketch_K8,64,15000,1600,96,0.9317,0.2095,0.9297,0.9296,0.0001,45.0,150.0,1467480.0,4,1,21.693,867,434,33920,8,6,157,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,dualmap,sketch_K16,64,15000,1600,96,0.9367,0.1765,0.9365,0.9365,0.0001,45.0,150.0,1475250.0,4,1,21.696,825,686,50048,8,6,125,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,power2,load_only,64,15000,1600,96,0.7167,0.7564,0.0,0.0,0.0,45.0,150.0,1128855.0,2,1,21.708,3716,0,6144,8,6,533,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,power2,exact_affinity,64,15000,1600,96,0.9403,0.0397,0.9404,0.9403,0.0001,45.0,150.0,1480920.0,4,1,21.699,765,765,55104,8,6,131,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,power2,sketch_K2,64,15000,1600,96,0.8682,0.0477,0.8645,0.8644,0.0001,45.0,150.0,1367415.0,4,1,21.699,1739,123,14016,8,6,238,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,power2,sketch_K4,64,15000,1600,96,0.9006,0.0407,0.8994,0.8992,0.0002,45.0,150.0,1418445.0,4,1,21.696,1308,240,21504,8,6,183,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,power2,sketch_K8,64,15000,1600,96,0.9273,0.036,0.9274,0.9272,0.0002,45.0,150.0,1460445.0,4,1,21.701,957,435,33984,8,6,134,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,power2,sketch_K16,64,15000,1600,96,0.9367,0.0399,0.9367,0.9367,0.0001,45.0,150.0,1475355.0,4,1,21.691,816,666,48768,8,6,133,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,slo_affinity,load_only,64,15000,1600,96,0.8665,0.874,0.0,0.0,1.0,45.0,150.0,1364685.0,2,1,21.697,1780,0,6144,8,6,223,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,slo_affinity,exact_affinity,64,15000,1600,96,0.941,0.1703,0.9411,0.941,0.059,45.0,150.0,1482075.0,4,1,21.699,763,763,54976,8,6,122,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,slo_affinity,sketch_K2,64,15000,1600,96,0.8993,0.1991,0.8717,0.8716,0.1284,45.0,150.0,1416345.0,4,1,21.699,1337,123,14016,8,6,174,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,slo_affinity,sketch_K4,64,15000,1600,96,0.9151,0.1873,0.9037,0.9036,0.0964,45.0,150.0,1441230.0,4,1,21.692,1126,239,21440,8,6,148,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,slo_affinity,sketch_K8,64,15000,1600,96,0.9299,0.203,0.9286,0.9285,0.0715,45.0,150.0,1464645.0,4,1,21.7,909,431,33728,8,6,142,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,remap_restart,slo_affinity,sketch_K16,64,15000,1600,96,0.9365,0.1711,0.9365,0.9364,0.0636,45.0,150.0,1474935.0,4,1,21.696,827,683,49856,8,6,126,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
