check,status,detail
a: real tc backlog at rho=1.3,PASS,tc_sig_backlog mid=1758B after=1908B relay_max_queue=None
b: delivery delay p95 materially larger at rho=1.3,PASS,p95 rho1.3=35.606s rho0.5=3.339s
c: ideal bypasses the network,PASS,"ideal net fields absent, upserts_per_s=1.151760544200092"
d: integrity checks,PASS,same logical request has byte-identical prompt and input token count across cells=PASS; same logical request has fixed output token count across cells=PASS; vLLM usage telemetry present for every request=PASS; transient live retries recorded in raw data=PASS
e: iperf3 background sharing raises signaling delay,FAIL,p95 bg_on=13.521s bg_off=14.891s class1:20_bytes_during_bg_cell=14002
