experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_superseded,relay_drop_replica_cap,relay_drop_low_utility,relay_drop_backlog_cap,relay_drop_global_topk,relay_max_queue,relay_ewma_dq_s
20260723_shared_link_live_v3_ideal_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,a3562569cda1110b37b3bc807a16f2db52abafd1,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,64,104,0,1,20260723,3fbb7874a08110490b9196b17749ccc14786a514a61dc1e6ee63b894e0836fc2,0.55,32,3,64,24,48,12,4,4,104544,200,60.0,4,4,0.5,50.0,2.0,0,"ideal,local_topk@rho1.1,agg_static@rho1.1,exact_fifo@rho1.1,hybrid@rho1.1",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:e2_overlap50-202607240850:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,36,0.5,16,64,49.79270669911057,112,2.249325401746048,1871.4387342527118,0.2777777777777778,1.0,37552.0,0,0.0,26.666666666666668,1194.3208208888889,1244.639957,2246.687472,1563.90515,2732.706644,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260723_shared_link_live_v3_local_topk@rho1.1_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,a3562569cda1110b37b3bc807a16f2db52abafd1,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,local_topk@rho1.1,local_topk,64,104,0,1,20260723,3fbb7874a08110490b9196b17749ccc14786a514a61dc1e6ee63b894e0836fc2,0.55,32,3,64,24,48,12,4,4,104544,200,60.0,4,4,0.5,50.0,2.0,1,"ideal,local_topk@rho1.1,agg_static@rho1.1,exact_fifo@rho1.1,hybrid@rho1.1",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:e2_overlap50-202607240850:local_topk@rho1.1:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,36,0.5,16,64,51.076408171094954,112,2.1927931898583033,1824.403933962108,0.027777777777777776,1.0,24208.0,0,0.0,0.0,1184.1030484166668,1306.479304,1994.440263,1548.795654,2242.047205,0,0.0,1.1,1701,False,True,0,110,89,2,199,80,20696,119,24.012924005587895,23.70585012435913,53.493285179138184,55.24987840652466,53.49335598945618,0,0,4868,0,68688,46720,37254,,,,,,,,
20260723_shared_link_live_v3_agg_static@rho1.1_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,a3562569cda1110b37b3bc807a16f2db52abafd1,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho1.1,agg_static,64,104,0,1,20260723,3fbb7874a08110490b9196b17749ccc14786a514a61dc1e6ee63b894e0836fc2,0.55,32,3,64,24,48,12,4,4,104544,200,60.0,4,4,0.5,50.0,2.0,2,"ideal,local_topk@rho1.1,agg_static@rho1.1,exact_fifo@rho1.1,hybrid@rho1.1",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:e2_overlap50-202607240850:agg_static@rho1.1:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,36,0.5,16,64,50.89516207296401,112,2.2006020894370124,1830.9009384115943,0.0,1.0,20112.0,0,0.0,0.0,1251.5079079444445,1318.942446,2016.89287,1542.648005,2299.350726,0,0.0,1.1,1701,False,False,8,112,0,0,112,0,11648,112,0.0,0.0,0.0,0.0,0.0,4868,5208,2616,0,77660,55252,46852,33,1,42,0,0,36,16,0.0
20260723_shared_link_live_v3_exact_fifo@rho1.1_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,a3562569cda1110b37b3bc807a16f2db52abafd1,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,exact_fifo@rho1.1,exact_fifo,64,104,0,1,20260723,3fbb7874a08110490b9196b17749ccc14786a514a61dc1e6ee63b894e0836fc2,0.55,32,3,64,24,48,12,4,4,104544,200,60.0,4,4,0.5,50.0,2.0,3,"ideal,local_topk@rho1.1,agg_static@rho1.1,exact_fifo@rho1.1,hybrid@rho1.1",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:e2_overlap50-202607240850:exact_fifo@rho1.1:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,36,0.5,16,64,50.6829367717728,112,2.2098166983562986,1838.5674930324403,0.0,1.0,20112.0,0,0.0,0.0,1293.7767720277777,1411.70299,2077.61289,1644.562013,2359.617129,0,0.0,1.1,1701,False,False,0,112,0,0,112,18,11648,94,54.688962618509926,50.65410256385803,62.250784158706665,62.250786542892456,0.0,2616,2416,1966,0,84138,63036,55252,112,0,0,0,0,0,84,44.628
20260723_shared_link_live_v3_hybrid@rho1.1_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,a3562569cda1110b37b3bc807a16f2db52abafd1,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,hybrid@rho1.1,hybrid,64,104,0,1,20260723,3fbb7874a08110490b9196b17749ccc14786a514a61dc1e6ee63b894e0836fc2,0.55,32,3,64,24,48,12,4,4,104544,200,60.0,4,4,0.5,50.0,2.0,4,"ideal,local_topk@rho1.1,agg_static@rho1.1,exact_fifo@rho1.1,hybrid@rho1.1",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:e2_overlap50-202607240850:hybrid@rho1.1:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,36,0.5,16,64,51.16818341240287,112,2.1888601965269663,1821.131683510436,0.0,1.0,20112.0,0,0.0,0.0,1294.1513162222222,1382.705119,2010.289734,1603.399579,2295.589449,0,0.0,1.1,1701,False,True,8,110,93,2,203,48,21112,155,36.33687054193937,36.02981948852539,43.07634234428406,45.059809923172,43.07641005516052,1966,2176,2098,0,91770,70688,63036,109,12,26,56,0,0,32,31.321
