affinity,cpu0
input_updates,achieved_updates_per_s,enqueue_p50_us,enqueue_p95_us,enqueue_p99_us,one_core_cpu_utilization_pct,rss_kb,max_gateway_queue_depth,global_topk
1000,19296.240384446213,51.818034,51.818034,51.818034,100.01820278470011,22816,85,32
5000,22905.873408040876,42.381239,49.282563,49.282563,99.86227817956761,23820,296,32
10000,23595.427536767358,42.714835,43.325106,43.325106,100.00686007183478,23896,559,32
50000,23306.33025756557,42.954812,43.368618999999995,43.899567000000005,99.95264664644806,24140,2664,32
100000,23207.509250612802,43.097972999999996,43.480934,43.866911,99.92914445968592,24436,5296,32
