relay_forwarded,relay_drop_superseded,relay_drop_replica_cap,relay_drop_low_utility,relay_drop_backlog_cap,relay_drop_global_topk,relay_max_queue,relay_ewma_dq_s,visible_holders,visible_coverage,mechanism,policy,rate_bit_per_s,updates_generated,duration_s,expected_final_coverage,final_coverage_correct,wire_bytes_forwarded,upsert_delay_p95_s,delivered_updates,rep,cell_id,routine_updates_before_invalidation,invalidation_delivered,invalidation_delay_s,ordinary_upserts_delivered_before_invalidation,overlap_percent,distinct_prefixes_generated,replicated_prefixes,unique_prefixes_visible,unique_prefixes_per_wire_byte
1,0,0,0,0,0,10,0.0,0,0,merge,exact_fifo,562,10,5.008929252624512,2560,False,104,,0,0,60000,,,,,,,,,
0,9,0,0,0,0,1,0.0,0,0,merge,merge_only,562,10,5.009355783462524,2560,False,0,,0,0,60001,,,,,,,,,
1,0,0,0,0,0,17,0.0,0,0,priority,exact_fifo,562,,,,,104,,,0,60002,18,True,,-1,,,,,
0,0,0,0,0,0,20,0.0,0,0,priority,priority_only,562,,,,,0,,,0,60003,18,True,,-1,,,,,
1,0,0,0,0,0,8,0.0,,,dedup,exact_fifo,562,8,,,,104,,,0,60004,,,,,0,8,0,0,0.0
0,0,0,0,0,0,8,0.0,,,dedup,dedup_only,562,8,,,,0,,,0,60005,,,,,0,8,0,0,0.0
0,0,0,0,0,0,12,0.0,,,dedup,exact_fifo,562,12,,,,0,,,0,60006,,,,,25,8,2,0,0.0
1,0,2,0,0,0,10,0.0,,,dedup,dedup_only,562,12,,,,104,,,0,60007,,,,,25,8,2,0,0.0
0,0,0,0,0,0,16,0.0,,,dedup,exact_fifo,562,16,,,,0,,,0,60008,,,,,50,8,4,0,0.0
0,0,4,0,0,0,12,0.0,,,dedup,dedup_only,562,16,,,,0,,,0,60009,,,,,50,8,4,0,0.0
1,0,0,0,0,0,20,0.0,,,dedup,exact_fifo,562,20,,,,104,,,0,60010,,,,,75,8,6,0,0.0
0,0,6,0,0,0,14,0.0,,,dedup,dedup_only,562,20,,,,0,,,0,60011,,,,,75,8,6,0,0.0
0,0,0,0,0,0,10,0.0,0,0,merge,exact_fifo,562,10,5.009817123413086,2560,False,0,,0,1,60012,,,,,,,,,
1,9,0,0,0,0,1,0.0,0,0,merge,merge_only,562,10,5.008375406265259,2560,False,104,,0,1,60013,,,,,,,,,
0,0,0,0,0,0,17,0.0,0,0,priority,exact_fifo,562,,,,,0,,,1,60014,18,True,,-1,,,,,
4,0,0,0,0,0,18,5.272,0,0,priority,priority_only,562,,,,,416,,,1,60015,18,True,13.074862003326416,1,,,,,
0,0,0,0,0,0,8,0.0,,,dedup,exact_fifo,562,8,,,,0,,,1,60016,,,,,0,8,0,0,0.0
1,0,0,0,0,0,8,0.0,,,dedup,dedup_only,562,8,,,,104,,,1,60017,,,,,0,8,0,0,0.0
0,0,0,0,0,0,12,0.0,,,dedup,exact_fifo,562,12,,,,0,,,1,60018,,,,,25,8,2,0,0.0
0,0,2,0,0,0,10,0.0,,,dedup,dedup_only,562,12,,,,0,,,1,60019,,,,,25,8,2,0,0.0
1,0,0,0,0,0,16,0.0,,,dedup,exact_fifo,562,16,,,,104,,,1,60020,,,,,50,8,4,0,0.0
0,0,4,0,0,0,12,0.0,,,dedup,dedup_only,562,16,,,,0,,,1,60021,,,,,50,8,4,0,0.0
0,0,0,0,0,0,20,0.0,,,dedup,exact_fifo,562,20,,,,0,,,1,60022,,,,,75,8,6,0,0.0
1,0,6,0,0,0,14,0.0,,,dedup,dedup_only,562,20,,,,104,,,1,60023,,,,,75,8,6,0,0.0
0,0,0,0,0,0,10,0.0,0,0,merge,exact_fifo,562,10,5.008018255233765,2560,False,0,,0,2,60024,,,,,,,,,
0,9,0,0,0,0,1,0.0,0,0,merge,merge_only,562,10,5.009070873260498,2560,False,0,,0,2,60025,,,,,,,,,
1,0,0,0,0,0,19,0.0,0,0,priority,exact_fifo,562,,,,,104,,,2,60026,18,True,,-1,,,,,
0,0,0,0,0,0,20,0.0,0,0,priority,priority_only,562,,,,,0,,,2,60027,18,True,,-1,,,,,
1,0,0,0,0,0,8,0.0,,,dedup,exact_fifo,562,8,,,,104,,,2,60028,,,,,0,8,0,0,0.0
0,0,0,0,0,0,8,0.0,,,dedup,dedup_only,562,8,,,,0,,,2,60029,,,,,0,8,0,0,0.0
0,0,0,0,0,0,12,0.0,,,dedup,exact_fifo,562,12,,,,0,,,2,60030,,,,,25,8,2,0,0.0
1,0,2,0,0,0,10,0.0,,,dedup,dedup_only,562,12,,,,104,,,2,60031,,,,,25,8,2,0,0.0
0,0,0,0,0,0,16,0.0,,,dedup,exact_fifo,562,16,,,,0,,,2,60032,,,,,50,8,4,0,0.0
0,0,4,0,0,0,12,0.0,,,dedup,dedup_only,562,16,,,,0,,,2,60033,,,,,50,8,4,0,0.0
1,0,0,0,0,0,20,0.0,,,dedup,exact_fifo,562,20,,,,104,,,2,60034,,,,,75,8,6,0,0.0
0,0,6,0,0,0,14,0.0,,,dedup,dedup_only,562,20,,,,0,,,2,60035,,,,,75,8,6,0,0.0
