relay_forwarded,visible_holders,visible_coverage,mechanism,policy,rate_bit_per_s,updates_generated,duration_s,expected_final_coverage,final_coverage_correct,wire_bytes_forwarded,upsert_delay_p95_s,delivered_updates,rep,cell_id,routine_updates_before_invalidation,invalidation_delivered,invalidation_delay_s,ordinary_upserts_delivered_before_invalidation,overlap_percent,distinct_prefixes_generated,replicated_prefixes,unique_prefixes_visible,unique_prefixes_per_wire_byte
10,1,2560,merge,exact_fifo,562,10,40.90576934814453,2560,True,1040,39.25491025447845,10,0,60000,,,,,,,,,
1,1,2560,merge,merge_only,562,10,7.542642831802368,2560,True,104,7.53998589515686,1,0,60001,,,,,,,,,
20,0,0,priority,exact_fifo,562,,,,,2080,,,0,60002,18,True,65.01966500282288,18,,,,,
3,0,0,priority,priority_only,562,,,,,312,,,0,60003,18,True,9.29444932937622,1,,,,,
8,,,dedup,exact_fifo,562,8,,,,832,32.23127759695053,,0,60004,,,,,0,8,0,8,0.009615384615384616
8,,,dedup,dedup_only,562,8,,,,832,32.23798615932464,,0,60005,,,,,0,8,0,8,0.009615384615384616
12,,,dedup,exact_fifo,562,12,,,,1248,42.57400180101394,,0,60006,,,,,25,8,2,8,0.00641025641025641
10,,,dedup,dedup_only,562,12,,,,1040,39.294011521339414,,0,60007,,,,,25,8,2,8,0.007692307692307693
16,,,dedup,exact_fifo,562,16,,,,1664,52.720146894454956,,0,60008,,,,,50,8,4,8,0.004807692307692308
12,,,dedup,dedup_only,562,16,,,,1248,42.61838238239288,,0,60009,,,,,50,8,4,8,0.00641025641025641
20,,,dedup,exact_fifo,562,20,,,,2080,67.07686661481857,,0,60010,,,,,75,8,6,8,0.0038461538461538464
14,,,dedup,dedup_only,562,20,,,,1456,49.68682384490967,,0,60011,,,,,75,8,6,8,0.005494505494505495
10,1,2560,merge,exact_fifo,562,10,27.09626269340515,2560,True,1040,25.796397590637206,10,1,60012,,,,,,,,,
1,1,2560,merge,merge_only,562,10,5.652996778488159,2560,True,104,5.642377614974976,1,1,60013,,,,,,,,,
19,0,0,priority,exact_fifo,562,,,,,1976,,,1,60014,18,True,57.598087310791016,17,,,,,
3,0,0,priority,priority_only,562,,,,,312,,,1,60015,18,True,9.293336629867554,1,,,,,
8,,,dedup,exact_fifo,562,8,,,,832,32.229992032051086,,1,60016,,,,,0,8,0,8,0.009615384615384616
8,,,dedup,dedup_only,562,8,,,,832,32.23106979131698,,1,60017,,,,,0,8,0,8,0.009615384615384616
12,,,dedup,exact_fifo,562,12,,,,1248,40.91974929571152,,1,60018,,,,,25,8,2,8,0.00641025641025641
10,,,dedup,dedup_only,562,12,,,,1040,35.582778978347775,,1,60019,,,,,25,8,2,8,0.007692307692307693
16,,,dedup,exact_fifo,562,16,,,,1664,45.593238830566406,,1,60020,,,,,50,8,4,8,0.004807692307692308
12,,,dedup,dedup_only,562,16,,,,1248,44.14268298149109,,1,60021,,,,,50,8,4,8,0.00641025641025641
20,,,dedup,exact_fifo,562,20,,,,2080,59.7134573340416,,1,60022,,,,,75,8,6,8,0.0038461538461538464
14,,,dedup,dedup_only,562,20,,,,1456,49.68485786914825,,1,60023,,,,,75,8,6,8,0.005494505494505495
10,1,2560,merge,exact_fifo,562,10,29.828383922576904,2560,True,1040,28.149318039417263,10,2,60024,,,,,,,,,
1,1,2560,merge,merge_only,562,10,5.6519691944122314,2560,True,104,5.639304161071777,1,2,60025,,,,,,,,,
20,0,0,priority,exact_fifo,562,,,,,2080,,,2,60026,18,True,60.07270812988281,18,,,,,
3,0,0,priority,priority_only,562,,,,,312,,,2,60027,18,True,9.30240774154663,1,,,,,
8,,,dedup,exact_fifo,562,8,,,,832,32.24103418588638,,2,60028,,,,,0,8,0,8,0.009615384615384616
8,,,dedup,dedup_only,562,8,,,,832,32.232052361965174,,2,60029,,,,,0,8,0,8,0.009615384615384616
12,,,dedup,exact_fifo,562,12,,,,1248,38.85985585451126,,2,60030,,,,,25,8,2,8,0.00641025641025641
10,,,dedup,dedup_only,562,12,,,,1040,36.89767277240753,,2,60031,,,,,25,8,2,8,0.007692307692307693
16,,,dedup,exact_fifo,562,16,,,,1664,52.70005643367767,,2,60032,,,,,50,8,4,8,0.004807692307692308
12,,,dedup,dedup_only,562,16,,,,1248,44.1329692363739,,2,60033,,,,,50,8,4,8,0.00641025641025641
20,,,dedup,exact_fifo,562,20,,,,2080,63.407993459701544,,2,60034,,,,,75,8,6,8,0.0038461538461538464
14,,,dedup,dedup_only,562,20,,,,1456,52.02428396940231,,2,60035,,,,,75,8,6,8,0.005494505494505495
