rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@rho0.5,exact_fifo,0.5,0.44557477110885046,-45.575492281250035,-157.815112,0.0
0,exact_fifo@rho1.3,exact_fifo,1.3,0.6083418107833164,-120.35144218749997,-250.9127350000001,0.0
0,agg_full@rho0.5,agg_full,0.5,0.6083418107833164,-140.6729631249999,-286.6543879999999,0.0
0,agg_full@rho1.3,agg_full,1.3,0.6083418107833164,-122.86370006250002,-223.81761499999993,0.0
0,exact_fifo@rho1.0,exact_fifo,1.0,0.44455747711088506,-110.63097081249998,-185.90208499999994,0.0
0,exact_fifo@rho1.0+bg,exact_fifo,1.0,0.6073245167853509,-121.78896178125001,-306.5709200000001,0.0
