experiment_id,experiment,evidence_type,code_commit,model,hardware,policy,K,J,admission,routing_guard,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260716_live_k_sketch_coverage_k16_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k16,exact,load_only,sketch_coverage_k4,sketch_coverage_k32",b02-v5:difficult-k:rep2:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.875,1792.0,1.0,235136.0,0,313232.0,403400.0,403400.0,2.0,2.0,3136,77.014468,831.184254,930.546226,227.069142,966.411806,0.0,192.69683915625,200704.0,235136.0
20260716_live_k_exact_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,2,12,20260716,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k16,exact,load_only,sketch_coverage_k4,sketch_coverage_k32",b02-v5:difficult-k:rep2:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.875,1792.0,1.0,235136.0,0,313232.0,403400.0,403400.0,2.0,2.0,3136,76.312875,837.857955,900.609872,217.411707,972.456929,0.0,191.81265659375,200704.0,235136.0
20260716_live_k_load_only_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,2,12,20260716,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k16,exact,load_only,sketch_coverage_k4,sketch_coverage_k32",b02-v5:difficult-k:rep2:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.7265625,1488.0,1.0,195840.0,0,244880.0,403400.0,403400.0,0.0,0.0,384,73.558435,874.475835,888.394817,208.161925,1011.158222,0.0,281.080453828125,166656.0,195840.0
20260716_live_k_sketch_coverage_k4_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k16,exact,load_only,sketch_coverage_k4,sketch_coverage_k32",b02-v5:difficult-k:rep2:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.4140625,0.7734375,1584.0,1.0,208240.0,0,280096.0,403400.0,403400.0,2.0,2.0,1408,114.899668,962.676956,993.710338,299.504168,1191.249688,0.0,334.3092974375,177408.0,208240.0
20260716_live_k_sketch_coverage_k32_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k16,exact,load_only,sketch_coverage_k4,sketch_coverage_k32",b02-v5:difficult-k:rep2:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.875,1792.0,1.0,235136.0,0,313232.0,403400.0,403400.0,2.0,2.0,3136,77.64328,879.821739,1014.268892,228.833232,1022.121479,0.0,200.806228265625,200704.0,235136.0
20260716_live_k_sketch_coverage_k32_rep3,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,3,12,20260716,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k32,sketch_coverage_k4,sketch_coverage_k16,exact,load_only",b02-v5:difficult-k:rep3:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5703125,0.859375,1760.0,1.0,230960.0,0,311072.0,403405.0,403405.0,2.0,2.0,3200,78.95459,945.063605,1023.221415,268.145933,1178.824112,0.0,239.522373421875,197120.0,230960.0
20260716_live_k_sketch_coverage_k4_rep3,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,3,12,20260716,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k32,sketch_coverage_k4,sketch_coverage_k16,exact,load_only",b02-v5:difficult-k:rep3:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.3828125,0.75,1536.0,1.0,202064.0,0,278016.0,403405.0,403405.0,2.0,2.0,1408,79.708589,1023.046487,1038.801545,235.408038,1184.213162,0.0,323.2128889609375,172032.0,202064.0
20260716_live_k_sketch_coverage_k16_rep3,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,3,12,20260716,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k32,sketch_coverage_k4,sketch_coverage_k16,exact,load_only",b02-v5:difficult-k:rep3:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5703125,0.859375,1760.0,1.0,230960.0,0,311072.0,403405.0,403405.0,2.0,2.0,3200,81.512853,951.219557,1090.680843,266.032054,1180.258429,0.0,244.3996251171875,197120.0,230960.0
20260716_live_k_exact_rep3,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,3,12,20260716,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k32,sketch_coverage_k4,sketch_coverage_k16,exact,load_only",b02-v5:difficult-k:rep3:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5703125,0.859375,1760.0,1.0,230960.0,0,311072.0,403405.0,403405.0,2.0,2.0,3200,79.535417,948.865328,1028.117091,276.055855,1136.287565,0.0,240.0066939921875,197120.0,230960.0
20260716_live_k_load_only_rep3,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,3,12,20260716,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k32,sketch_coverage_k4,sketch_coverage_k16,exact,load_only",b02-v5:difficult-k:rep3:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.703125,1440.0,1.0,189696.0,0,247024.0,403405.0,403405.0,0.0,0.0,384,76.04635,959.864586,1036.475706,217.500925,1112.136879,0.0,323.5645666640625,161280.0,189696.0
20260716_live_k_load_only_rep4,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,4,12,20260716,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"load_only,sketch_coverage_k16,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep4:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.6796875,1392.0,1.0,183488.0,0,242848.0,403407.0,403407.0,0.0,0.0,384,77.710855,971.770108,1025.635973,224.630037,1117.97742,0.0,347.619954296875,155904.0,183488.0
20260716_live_k_sketch_coverage_k16_rep4,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,4,12,20260716,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"load_only,sketch_coverage_k16,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep4:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.609375,0.828125,1696.0,1.0,222784.0,0,315296.0,403407.0,403407.0,1.0,1.0,3072,82.492036,932.361817,1008.053547,290.501487,1124.196715,0.0,264.6352289296875,189952.0,222784.0
20260716_live_k_sketch_coverage_k4_rep4,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,4,12,20260716,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"load_only,sketch_coverage_k16,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep4:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.59375,0.7734375,1584.0,1.0,208336.0,0,296704.0,403407.0,403407.0,1.0,1.0,1408,105.654442,954.692323,1024.890848,267.712995,1179.91806,0.0,305.01047228125,177408.0,208336.0
20260716_live_k_sketch_coverage_k32_rep4,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,4,12,20260716,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"load_only,sketch_coverage_k16,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep4:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.609375,0.828125,1696.0,1.0,222784.0,0,315296.0,403407.0,403407.0,1.0,1.0,3072,111.290673,941.395252,1097.548946,277.36379,1132.805682,0.0,265.1572230546875,189952.0,222784.0
20260716_live_k_exact_rep4,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,4,12,20260716,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"load_only,sketch_coverage_k16,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep4:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.609375,0.828125,1696.0,1.0,222784.0,0,315296.0,403407.0,403407.0,1.0,1.0,3072,86.125727,917.726413,1013.543956,275.255162,1110.668176,0.0,260.711459,189952.0,222784.0
