experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,policy_family,interface,K,admission,routing_guard,guard_tokens,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,affinity_selected_rate,saved_prefill_tokens_total,incremental_saved_prefill_tokens_total,native_counterfactual_incremental_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260716_cross_p2c_sketch_coverage_k8_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,8,coverage_first,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.07291666666666667,183742.0,85438.0,32145.0,1.0,1.0,2432
20260716_cross_p2c_sketch_coverage_k16_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,16,coverage_first,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.1328125,221808.0,123504.0,31578.0,1.0,1.0,4480
20260716_cross_p2c_sketch_coverage_k32_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,32,coverage_first,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.16145833333333334,226555.0,128251.0,34551.0,2.0,2.0,8576
20260716_cross_p2c_exact_kinf_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,exact,inf,n/a,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.16927083333333334,229827.0,131523.0,23354.0,4.0,4.0,33152
20260716_cross_dualmap_load_only_kinf_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,load_only,inf,n/a,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.0,172387.0,74083.0,74083.0,0.0,0.0,384
20260716_cross_dualmap_sketch_coverage_k8_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,sketch_coverage,8,coverage_first,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.078125,204799.0,106495.0,73432.0,1.0,1.0,2432
20260716_cross_dualmap_sketch_coverage_k16_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,sketch_coverage,16,coverage_first,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.11458333333333333,224010.0,125706.0,79648.0,1.0,1.0,4480
20260716_cross_dualmap_sketch_coverage_k32_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,sketch_coverage,32,coverage_first,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.16145833333333334,230833.0,132529.0,73772.0,2.0,2.0,8576
20260716_cross_dualmap_exact_kinf_rep1,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,exact,inf,n/a,net_benefit_coverage_threshold,512,4,1,10,20260716,2b17620c82cdc934ff06b8e745d7b39ad31f763666630ec1230aec8f00034802,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.16927083333333334,237920.0,139616.0,139616.0,4.0,4.0,31744
20260716_cross_p2c_load_only_kinf_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,load_only,inf,n/a,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.0,160298.0,61994.0,61994.0,0.0,0.0,384
