experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260716_live_k_sketch_coverage_k8_rep3,3,load_only,sketch_coverage_k8,2694a84b83c76ac53242533d6cb06a7ab4567aeacb9a11bbd5026e56c01ba076,Current,0.6593406593406593,0.6662495829162496,-52.263988835937425,916.7920534375,-40.598191999999926,1279.388132,-91.78404,1650.167713,2048.0,2432,23296.0,107520.0,26816.0,127792.0,208.0,960.0
20260716_live_k_sketch_coverage_k16_rep3,3,load_only,sketch_coverage_k16,2694a84b83c76ac53242533d6cb06a7ab4567aeacb9a11bbd5026e56c01ba076,Current,0.9230769230769231,0.9245912579245913,-277.25772470312495,691.7983175703125,-1070.367342,249.618982,-41.00775500000009,1700.943998,4096.0,4480,66304.0,150528.0,76368.0,177344.0,592.0,1344.0
20260716_live_k_sketch_coverage_k32_rep3,3,load_only,sketch_coverage_k32,2694a84b83c76ac53242533d6cb06a7ab4567aeacb9a11bbd5026e56c01ba076,Current,1.0,1.0,-324.887391078125,644.1686511953125,-1086.958146,233.028178,-25.86089600000014,1716.090857,5120.0,5504,78848.0,163072.0,90832.0,191808.0,704.0,1456.0
20260716_live_k_exact_rep3,3,load_only,exact,2694a84b83c76ac53242533d6cb06a7ab4567aeacb9a11bbd5026e56c01ba076,Current,1.0,1.0,-317.54200559375,651.5140366796875,-1080.718517,239.267807,-98.88076500000011,1643.070988,5120.0,5504,78848.0,163072.0,90832.0,191808.0,704.0,1456.0
20260716_live_k_sketch_coverage_k4_rep4,4,load_only,sketch_coverage_k4,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,0.5520833333333334,0.5610161443494777,45.25738764843754,937.1348142265625,38.08506699999998,1318.437319,125.85921000000008,1791.816735,1024.0,1408,0.0,94976.0,64.0,113424.0,0.0,848.0
20260716_live_k_sketch_coverage_k8_rep4,4,load_only,sketch_coverage_k8,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,0.6875,0.6933364988920544,-16.07961893749996,875.797807640625,-15.471935999999914,1264.880316,109.05541700000003,1775.012942,2048.0,2432,23296.0,118272.0,26816.0,140176.0,208.0,1056.0
20260716_live_k_sketch_coverage_k16_rep4,4,load_only,sketch_coverage_k16,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,0.9375,0.9387464387464387,-202.98767353125004,688.889753046875,-1067.507101,212.845151,53.101371999999856,1719.058897,4032.0,4416,66304.0,161280.0,76432.0,189792.0,592.0,1440.0
20260716_live_k_sketch_coverage_k32_rep4,4,load_only,sketch_coverage_k32,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,1.0,1.0,-293.9684395390625,597.9089870390625,-1058.024178,222.328074,7.4692989999998645,1673.426824,5120.0,5504,77056.0,172032.0,88816.0,202176.0,688.0,1536.0
20260716_live_k_exact_rep4,4,load_only,exact,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,1.0,1.0,-278.55775207812496,613.3196745,-1058.6578169999998,221.694435,20.419718999999986,1686.377244,5120.0,5504,77056.0,172032.0,88816.0,202176.0,688.0,1536.0
20260716_live_k_sketch_coverage_k4_rep5,5,load_only,sketch_coverage_k4,1c0debfe4d4e49d005ccc7df42deb50ae3ae60a326c292716bca1af5bb499a0f,Current,0.5052631578947369,0.5149528226451303,23.196327984374875,1051.75477509375,35.56519800000001,1414.856227,79.1565129999999,1837.456438,1024.0,1408,5376.0,86016.0,6176.0,103040.0,48.0,768.0
