experiment,evidence_type,baseline,rate_budget_Bps,transport_capacity_Bps,churn_events_per_inst_s,n_reps,status,update_delay_p95_ms_mean,update_delay_p95_ms_ci95_low,update_delay_p95_ms_ci95_high,queue_length_max_mean,queue_length_max_ci95_low,queue_length_max_ci95_high,coalescing_ratio_mean,coalescing_ratio_ci95_low,coalescing_ratio_ci95_high,dropped_or_expired_updates_mean,dropped_or_expired_updates_ci95_low,dropped_or_expired_updates_ci95_high,stale_lookup_rate_mean,stale_lookup_rate_ci95_low,stale_lookup_rate_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,ttft_p95_ms_model_mean,ttft_p95_ms_model_ci95_low,ttft_p95_ms_model_ci95_high
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,4096,4096,5.0,20,Current,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,64,64,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,64,64,0.1,20,Current,325.9999999999998,180.9999999999999,488.0000000000008,0.85,0.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.00014166666666666668,8.333333333333334e-06,0.00035,0.00014166666666666668,8.333333333333334e-06,0.00036666666666666667,539923.5,539802.0,539995.5,80.006375,80.000375,80.01575
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,64,64,1.0,20,Current,1841.9999999999995,1814.0,1868.9999999999993,5.5,5.2,5.85,0.03077699062960928,0.0243669085732825,0.037362748948905435,0.14742360734885504,0.1337160021484313,0.1608403829070976,0.16635,0.12475,0.21100833333333333,0.16635,0.12175,0.20801666666666666,450171.0,426019.5,473602.5,87.48575,85.559375,89.53999999999999
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,64,64,5.0,20,Current,1994.0000000000011,1990.000000000002,1998.0000000000005,16.95,16.3,17.65,0.26115658767837624,0.2514543838700463,0.2697099291101262,0.52443129735178,0.5164708063866557,0.5329914564063255,0.7461583333333334,0.7178916666666667,0.7743333333333333,0.7461583333333334,0.716825,0.7763,137074.5,121194.0,153315.0,113.577125,112.22562500000001,114.8495
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,256,256,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,256,256,0.1,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,256,256,1.0,20,Current,0.0,0.0,0.0,0.25,0.05,0.5,0.0011157239231966787,0.0,0.0028368794326241132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,256,256,5.0,20,Current,1877.9999999999995,1857.9999999999984,1896.0,13.6,12.9,14.35,0.15686607740622782,0.14785879473002098,0.16497899045231323,0.03605755766922189,0.03068508696412267,0.04159145960243517,0.196625,0.17661666666666667,0.218225,0.196625,0.17738333333333334,0.21674166666666667,433822.5,422554.5,444195.0,88.848125,87.973625,89.81675
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,1024,1024,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
