experiment,label,alpha,concurrency,policy,n_reps,mean_exact_saved_prefill_denom,mean_load_saved_prefill,rinc_est_mean,rinc_est_ci95_low,rinc_est_ci95_high,rinc_phys_mean,rinc_phys_ci95_low,rinc_phys_ci95_high,ratio_est_mean,ratio_est_ci95_low,ratio_est_ci95_high,ratio_phys_mean,ratio_phys_ci95_low,ratio_phys_ci95_high,dttft_mean_ms_mean,dttft_mean_ms_ci95_low,dttft_mean_ms_ci95_high,dttft_p50_ms_mean,dttft_p50_ms_ci95_low,dttft_p50_ms_ci95_high,dttft_p95_ms_mean,dttft_p95_ms_ci95_low,dttft_p95_ms_ci95_high,index_bytes_mean,index_bytes_ci95_low,index_bytes_ci95_high,candidate_hit_rate_mean,candidate_hit_rate_ci95_low,candidate_hit_rate_ci95_high,abstain_rate_mean,abstain_rate_ci95_low,abstain_rate_ci95_high
s1_alpha1.35_skew,"S1b skewed demand (alpha=1.35, conc=4)",1.35,4,sketch_coverage_k16,12,196074.66666666666,165760.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-63.5979,-76.484,-49.5381,11.5166,3.1827,20.4232,-3.9038,-28.0193,19.1685,3029.3333,2901.3333,3146.6667,0.5872,0.5625,0.6126,0.0,0.0,0.0
s1_alpha1.35_skew,"S1b skewed demand (alpha=1.35, conc=4)",1.35,4,sketch_coverage_k32,12,196074.66666666666,165760.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-63.5065,-76.3809,-49.5843,12.9511,4.4585,23.4605,-6.1546,-26.0515,14.7855,3029.3333,2906.6667,3152.0,0.5872,0.5625,0.6094,0.0,0.0,0.0
s1_alpha1.35_skew,"S1b skewed demand (alpha=1.35, conc=4)",1.35,4,sketch_coverage_k4,12,196074.66666666666,165760.0,0.3786,0.3059,0.4579,0.3775,0.3058,0.4547,0.9039,0.8876,0.9207,0.9053,0.8885,0.9212,17.8163,-0.9557,36.2987,15.8176,6.761,26.1585,48.0435,23.5056,73.1939,1408.0,1408.0,1408.0,0.4766,0.4329,0.5215,0.0,0.0,0.0
s2_guard_ablation,"S2 guard ablation (alpha=0.55, conc=4)",0.55,4,exact,12,167253.33333333334,81237.33333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-276.5879,-315.315,-237.5385,-861.8756,-934.8173,-796.0707,-17.1735,-54.4221,19.241,5296.0,5157.3333,5440.0,0.5397,0.5202,0.5599,0.0,0.0,0.0
s2_guard_ablation,"S2 guard ablation (alpha=0.55, conc=4)",0.55,4,sketch_k16_abstain,12,167253.33333333334,81237.33333333333,0.2805,0.2231,0.3381,0.2804,0.2218,0.3365,0.6327,0.6039,0.6593,0.64,0.6136,0.6648,-101.8616,-136.5079,-71.6328,-109.2864,-247.4826,-27.3437,-15.7045,-38.2629,7.3606,4480.0,4480.0,4480.0,0.1602,0.1413,0.1777,0.123,0.1113,0.1348
s2_guard_ablation,"S2 guard ablation (alpha=0.55, conc=4)",0.55,4,sketch_k16_affinity_first,12,167253.33333333334,81237.33333333333,0.8548,0.8056,0.9024,0.8545,0.8073,0.8996,0.9264,0.904,0.9492,0.9278,0.905,0.949,-231.2625,-266.2969,-194.7704,-786.7701,-907.0923,-632.962,-11.5681,-49.9295,24.8068,4480.0,4480.0,4480.0,0.472,0.4453,0.4987,0.0,0.0,0.0
s2_guard_ablation,"S2 guard ablation (alpha=0.55, conc=4)",0.55,4,sketch_k4_abstain,12,167253.33333333334,81237.33333333333,0.0263,-0.0351,0.086,0.0263,-0.0349,0.0889,0.5019,0.4683,0.5294,0.5119,0.4807,0.5401,-4.3662,-24.7539,17.4622,-4.0838,-27.3135,16.1277,9.455,-21.0999,35.8233,1408.0,1408.0,1408.0,0.0443,0.0332,0.0547,0.0215,0.0182,0.0247
s2_guard_ablation,"S2 guard ablation (alpha=0.55, conc=4)",0.55,4,sketch_k4_affinity_first,12,167253.33333333334,81237.33333333333,0.1155,0.0778,0.1489,0.1154,0.0785,0.1494,0.5462,0.5228,0.5703,0.5553,0.53,0.5798,-17.8744,-41.7926,6.0186,-19.1766,-59.22,16.3912,-1.5232,-39.9941,38.0862,1408.0,1408.0,1408.0,0.1029,0.0866,0.1191,0.0,0.0,0.0
s3_concurrency8,"S3 heavy load (alpha=0.55, conc=8)",0.55,8,exact,12,169045.33333333334,85269.33333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-726.5878,-818.7733,-643.5466,-1075.5846,-1300.7529,-887.5947,-341.3524,-550.4068,-160.7491,5424.0,5333.3333,5514.6667,0.5319,0.5111,0.5573,0.0,0.0,0.0
s3_concurrency8,"S3 heavy load (alpha=0.55, conc=8)",0.55,8,sketch_coverage_k16,12,169045.33333333334,85269.33333333333,0.8736,0.8373,0.9087,0.8724,0.8351,0.9083,0.9371,0.9176,0.9551,0.9384,0.9189,0.957,-632.0746,-718.0214,-554.2548,-779.9474,-1046.8183,-532.5479,-252.2806,-442.782,-103.6066,4474.6667,4464.0,4480.0,0.4974,0.4681,0.5312,0.0,0.0,0.0
s3_concurrency8,"S3 heavy load (alpha=0.55, conc=8)",0.55,8,sketch_coverage_k4,12,169045.33333333334,85269.33333333333,0.061,0.0149,0.1128,0.0605,0.0164,0.1083,0.5375,0.5151,0.5609,0.5513,0.528,0.574,-31.1939,-91.3875,17.6101,-75.9477,-273.3318,92.2873,4.6371,-27.6189,37.0956,1408.0,1408.0,1408.0,0.0964,0.0716,0.1217,0.0,0.0,0.0
