check_name,status,offending_rows,suggested_fix
source file hash recorded,PASS,0,record source SHA-256 in manifest and every cell
derived trace contains no raw text columns,PASS,0,write only structural/hash fields
frozen Exact is information upper bound,PASS,0,inspect interface visibility
evaluated fanout <= J,PASS,0,truncate candidate list before selection
