experiment_id,experiment,evidence_type,code_commit,model,hardware,workload_trace_hash,seed,locality,K,J,n_instances,request_count,raw_fanout_p95,evaluated_fanout_p95,fraction_truncated,cache_hit_rate,cache_hit_at_J_infinity,quality_loss,hit_rate_loss,status
20260715_jbound_sketch_fixed_trace_K8_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,8,16,64,3000,64.0,16.0,0.5883333333333334,0.5883333333333334,0.5883333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,16,1,64,3000,64.0,1.0,0.6883333333333334,0.6883333333333334,0.6883333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,16,2,64,3000,64.0,2.0,0.6883333333333334,0.6883333333333334,0.6883333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,16,4,64,3000,64.0,4.0,0.6883333333333334,0.6883333333333334,0.6883333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,16,8,64,3000,64.0,8.0,0.6883333333333334,0.6883333333333334,0.6883333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,16,16,64,3000,64.0,16.0,0.6883333333333334,0.6883333333333334,0.6883333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,32,1,64,3000,64.0,1.0,0.7736666666666666,0.7736666666666666,0.7736666666666666,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,32,2,64,3000,64.0,2.0,0.7736666666666666,0.7736666666666666,0.7736666666666666,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,32,4,64,3000,64.0,4.0,0.7736666666666666,0.7736666666666666,0.7736666666666666,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,32,8,64,3000,64.0,8.0,0.7736666666666666,0.7736666666666666,0.7736666666666666,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,32,16,64,3000,64.0,16.0,0.7736666666666666,0.7736666666666666,0.7736666666666666,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,2,1,64,3000,64.0,1.0,0.14033333333333334,0.14033333333333334,0.14033333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,2,2,64,3000,64.0,2.0,0.14033333333333334,0.14033333333333334,0.14033333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,2,4,64,3000,64.0,4.0,0.14033333333333334,0.14033333333333334,0.14033333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,2,8,64,3000,64.0,8.0,0.14033333333333334,0.14033333333333334,0.14033333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,2,16,64,3000,64.0,16.0,0.14033333333333334,0.14033333333333334,0.14033333333333334,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,4,1,64,3000,64.0,1.0,0.19366666666666665,0.19366666666666665,0.19366666666666665,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,4,2,64,3000,64.0,2.0,0.19366666666666665,0.19366666666666665,0.19366666666666665,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,4,4,64,3000,64.0,4.0,0.19366666666666665,0.19366666666666665,0.19366666666666665,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,4,8,64,3000,64.0,8.0,0.19366666666666665,0.19366666666666665,0.19366666666666665,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,4,16,64,3000,64.0,16.0,0.19366666666666665,0.19366666666666665,0.19366666666666665,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,8,1,64,3000,64.0,1.0,0.27366666666666667,0.27366666666666667,0.27366666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,8,2,64,3000,64.0,2.0,0.27366666666666667,0.27366666666666667,0.27366666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,8,4,64,3000,64.0,4.0,0.27366666666666667,0.27366666666666667,0.27366666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,8,8,64,3000,64.0,8.0,0.27366666666666667,0.27366666666666667,0.27366666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,8,16,64,3000,64.0,16.0,0.27366666666666667,0.27366666666666667,0.27366666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,16,1,64,3000,64.0,1.0,0.3546666666666667,0.3546666666666667,0.3546666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,16,2,64,3000,64.0,2.0,0.3546666666666667,0.3546666666666667,0.3546666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,16,4,64,3000,64.0,4.0,0.3546666666666667,0.3546666666666667,0.3546666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,16,8,64,3000,64.0,8.0,0.3546666666666667,0.3546666666666667,0.3546666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K16_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,16,16,64,3000,64.0,16.0,0.3546666666666667,0.3546666666666667,0.3546666666666667,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,32,1,64,3000,64.0,1.0,0.453,0.453,0.453,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,32,2,64,3000,64.0,2.0,0.453,0.453,0.453,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,32,4,64,3000,64.0,4.0,0.453,0.453,0.453,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,32,8,64,3000,64.0,8.0,0.453,0.453,0.453,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K32_medium_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,62dee8906805a911210a837c1301e3b2e62f07c09d3c09ad6dcd1adc84e8c7bf,20260715,medium,32,16,64,3000,64.0,16.0,0.453,0.453,0.453,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,2,1,64,3000,0.0,0.0,0.009,0.009,0.009,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,2,2,64,3000,0.0,0.0,0.009,0.009,0.009,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,2,4,64,3000,0.0,0.0,0.009,0.009,0.009,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,2,8,64,3000,0.0,0.0,0.009,0.009,0.009,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,2,16,64,3000,0.0,0.0,0.009,0.009,0.009,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,4,1,64,3000,0.0,0.0,0.01633333333333333,0.01633333333333333,0.01633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,4,2,64,3000,0.0,0.0,0.01633333333333333,0.01633333333333333,0.01633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,4,4,64,3000,0.0,0.0,0.01633333333333333,0.01633333333333333,0.01633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,4,8,64,3000,0.0,0.0,0.01633333333333333,0.01633333333333333,0.01633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,4,16,64,3000,0.0,0.0,0.01633333333333333,0.01633333333333333,0.01633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,8,1,64,3000,0.0,0.0,0.029666666666666668,0.029666666666666668,0.029666666666666668,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,8,2,64,3000,0.0,0.0,0.029666666666666668,0.029666666666666668,0.029666666666666668,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,8,4,64,3000,0.0,0.0,0.029666666666666668,0.029666666666666668,0.029666666666666668,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K8_low_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,433fe511a3944066bf243d0a1799d592b7bc3bf16de56819b9e20cdc49cc7a5d,20260715,low,8,8,64,3000,0.0,0.0,0.029666666666666668,0.029666666666666668,0.029666666666666668,0.0,0.0,Current
