experiment_id,experiment,evidence_type,code_commit,model,hardware,interface,N,R_per_inst,K,dispatcher_index_B,snapshot_B,advertised_entries,event_driven_Bps,update_p95_us,lookup_p95_us,fanout_p95,evaluated_fanout_p95,churn_events_per_inst_s,status
20260715_cost_load_only_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,64,4,768,768,0,19.200000000000003,0.259,0.239,0,0,0.1,Current
20260715_cost_sketch_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,64,4,2816,2816,32,204.8,0.328,0.25,4,8,0.1,Current
20260715_cost_exact_affinity_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,64,4,33536,33536,512,3276.8,0.379,0.264,8,8,0.1,Current
20260715_cost_load_only_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,64,8,768,768,0,19.200000000000003,0.263,0.238,0,0,0.1,Current
20260715_cost_sketch_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,64,8,4864,4864,64,409.6,0.356,0.265,8,8,0.1,Current
20260715_cost_exact_affinity_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,64,8,33536,33536,512,3276.8,0.582,0.405,8,8,0.1,Current
20260715_cost_load_only_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,64,16,768,768,0,19.200000000000003,0.433,0.385,0,0,0.1,Current
20260715_cost_sketch_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,64,16,8960,8960,128,819.2,0.553,0.387,8,8,0.1,Current
20260715_cost_exact_affinity_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,64,16,33536,33536,512,3276.8,0.607,0.422,8,8,0.1,Current
20260715_cost_load_only_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,64,32,768,768,0,19.200000000000003,0.416,0.383,0,0,0.1,Current
20260715_cost_sketch_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,64,32,17152,17152,256,1638.4,0.538,0.393,8,8,0.1,Current
20260715_cost_exact_affinity_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,64,32,33536,33536,512,3276.8,0.571,0.396,8,8,0.1,Current
20260715_cost_load_only_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,256,2,768,768,0,19.200000000000003,0.409,0.37,0,0,0.1,Current
20260715_cost_sketch_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,256,2,1792,1792,16,102.4,0.533,0.374,2,8,0.1,Current
20260715_cost_exact_affinity_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,256,2,131840,131840,2048,13107.2,0.594,0.395,8,8,0.1,Current
20260715_cost_load_only_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,256,4,768,768,0,19.200000000000003,0.411,0.388,0,0,0.1,Current
