experiment,evidence_type,treatment_policy,baseline_policy,n_reps,status,exact_normalized_estimated_saved_prefill_mean,exact_normalized_estimated_saved_prefill_ci95_low,exact_normalized_estimated_saved_prefill_ci95_high,exact_normalized_estimated_saved_prefill_median,exact_normalized_estimated_saved_prefill_iqr,exact_normalized_physical_cached_tokens_mean,exact_normalized_physical_cached_tokens_ci95_low,exact_normalized_physical_cached_tokens_ci95_high,exact_normalized_physical_cached_tokens_median,exact_normalized_physical_cached_tokens_iqr,delta_mean_ttft_ms_mean,delta_mean_ttft_ms_ci95_low,delta_mean_ttft_ms_ci95_high,delta_mean_ttft_ms_median,delta_mean_ttft_ms_iqr,delta_ttft_p50_ms_mean,delta_ttft_p50_ms_ci95_low,delta_ttft_p50_ms_ci95_high,delta_ttft_p50_ms_median,delta_ttft_p50_ms_iqr,delta_ttft_p95_ms_mean,delta_ttft_p95_ms_ci95_low,delta_ttft_p95_ms_ci95_high,delta_ttft_p95_ms_median,delta_ttft_p95_ms_iqr,treatment_dispatcher_index_bytes_mean,treatment_dispatcher_index_bytes_ci95_low,treatment_dispatcher_index_bytes_ci95_high,treatment_dispatcher_index_bytes_median,treatment_dispatcher_index_bytes_iqr,treatment_estimated_saved_prefill_tokens_total_mean,treatment_estimated_saved_prefill_tokens_total_ci95_low,treatment_estimated_saved_prefill_tokens_total_ci95_high,treatment_estimated_saved_prefill_tokens_total_median,treatment_estimated_saved_prefill_tokens_total_iqr,treatment_physical_cached_tokens_total_mean,treatment_physical_cached_tokens_total_ci95_low,treatment_physical_cached_tokens_total_ci95_high,treatment_physical_cached_tokens_total_median,treatment_physical_cached_tokens_total_iqr
difficult_live_k_tradeoff_v5,live_t4_vllm,exact,load_only,12,Current,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-354.5484915514323,-391.96922230664063,-315.2029040657552,-350.17342811718754,84.26487452343747,-874.8286756666666,-927.1387744166666,-817.9592426666666,-887.4296984999999,124.47699999999998,-44.15329233333332,-79.27106108333332,-9.727427666666633,-45.47952450000008,59.44358800000009,5733.333333333333,5605.333333333333,5856.0,5728.0,256.0,165610.66666666666,161728.0,168746.66666666666,165760.0,7168.0,194724.0,190257.33333333334,198493.33333333334,194912.0,8176.0
difficult_live_k_tradeoff_v5,live_t4_vllm,sketch_coverage_k16,load_only,12,Current,0.8589916012349935,0.8407062144355907,0.8767967636580152,0.8677755376344086,0.02585812356979411,0.8617535087039937,0.8445174022948266,0.8786976759360197,0.8703280224934553,0.02531153730877489,-246.65094630598958,-279.53798672460937,-216.72563045377606,-234.73157194140623,48.28097339062498,-745.4427151666666,-844.8104305833333,-613.8906266666667,-792.6390655,128.57742599999995,-22.021711499999963,-56.81145891666662,15.148347083333343,-25.85355199999998,49.850251999999955,4480.0,4480.0,4480.0,4480.0,0.0,142314.66666666666,137386.66666666666,146794.66666666666,144256.0,10752.0,167868.0,162008.0,173201.33333333334,170112.0,12336.0
difficult_live_k_tradeoff_v5,live_t4_vllm,sketch_coverage_k32,load_only,12,Current,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-352.2100985592448,-392.42798462174477,-312.9768876959635,-344.9678527773438,59.927537710937486,-873.1582384999999,-927.5015326666667,-817.5040134999999,-890.8464114999999,143.8685979999999,-17.981802999999985,-68.49451433333333,30.11761391666671,-13.18671999999998,62.96551599999998,5733.333333333333,5600.0,5856.0,5728.0,256.0,165610.66666666666,161578.66666666666,168746.66666666666,165760.0,7168.0,194724.0,190085.33333333334,198504.0,194912.0,8176.0
difficult_live_k_tradeoff_v5,live_t4_vllm,sketch_coverage_k4,load_only,12,Current,0.4280043398144183,0.4023443022230404,0.4503562521963736,0.44157608695652173,0.03893932154801716,0.4395846895573481,0.4140972794088038,0.4607129091027616,0.45271146368886683,0.03821218444794472,-30.515656346354167,-50.7024410657552,-10.457064755208336,-31.543005164062492,20.92826653906252,-26.544841583333305,-44.83275808333328,-8.947769749999972,-21.762616500000036,54.882930999999985,-12.841145000000012,-39.397437500000024,14.226487416666705,-12.936698499999977,43.15394100000003,1408.0,1408.0,1408.0,1408.0,0.0,70933.33333333333,66304.0,74816.0,73472.0,7168.0,85652.0,79978.66666666667,90468.0,88584.0,8272.0
