cell_id,workload,state_view,freq_hz,rep,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,request_latency_p50,request_latency_p95,request_latency_p99,dispatch_decision_p50,dispatch_decision_p95,dispatch_decision_p99,workflow_completion_p50,workflow_completion_p95,workflow_completion_p99,success_rate,failure_rate,n_total
agentic_rich_f50_r1,agentic,rich,50,1,2684.9,8746.9,11483.4,0.002,0.011,0.033,2684.9,8747.0,11483.5,61.58,75.71,90.23,27890.2,55341.2,65582.0,1.000,0.000,20
agentic_rich_f50_r2,agentic,rich,50,2,2684.9,8746.9,11483.4,0.002,0.011,0.033,2684.9,8747.0,11483.5,61.58,75.71,90.23,27890.2,55341.2,65582.0,1.000,0.000,20
agentic_sketch_f10_r1,agentic,sketch,10,1,2573.5,6882.5,9518.4,0.002,0.012,0.035,2573.6,6882.7,9518.5,56.95,66.33,77.50,25173.5,49857.2,53597.8,1.000,0.000,20
agentic_sketch_f10_r2,agentic,sketch,10,2,2573.5,6882.5,9518.4,0.002,0.012,0.035,2573.6,6882.7,9518.5,56.95,66.33,77.50,25173.5,49857.2,53597.8,1.000,0.000,20
agentic_sketch_f1_r1,agentic,sketch,1,1,3164.1,9282.5,12836.1,0.002,0.012,0.032,3164.2,9282.6,12836.2,55.62,67.55,82.78,38954.6,63395.9,63624.6,1.000,0.000,20
agentic_sketch_f1_r2,agentic,sketch,1,2,3164.1,9282.5,12836.1,0.002,0.012,0.032,3164.2,9282.6,12836.2,55.62,67.55,82.78,38954.6,63395.9,63624.6,1.000,0.000,20
agentic_sketch_f50_r1,agentic,sketch,50,1,2866.6,8876.1,13244.9,0.002,0.014,0.036,2866.7,8876.2,13245.0,56.18,69.85,76.28,27002.2,51610.7,56423.0,1.000,0.000,20
agentic_sketch_f50_r2,agentic,sketch,50,2,2866.6,8876.1,13244.9,0.002,0.014,0.036,2866.7,8876.2,13245.0,56.18,69.85,76.28,27002.2,51610.7,56423.0,1.000,0.000,20
chatbot_coarse_f10_r1,chatbot,coarse,10,1,5728.2,13628.3,15064.4,0.002,0.012,0.032,5728.3,13628.4,15064.5,53.74,65.83,81.69,0.0,0.0,0.0,1.000,0.000,600
chatbot_coarse_f10_r2,chatbot,coarse,10,2,5728.2,13628.3,15064.4,0.002,0.012,0.032,5728.3,13628.4,15064.5,53.74,65.83,81.69,0.0,0.0,0.0,1.000,0.000,600
