check_name,status,offending_rows,suggested_fix
same logical request has byte-identical prompt and input token count across policies,PASS,0,remove all policy data from semantic prompt
same logical request has fixed output token count across policies,PASS,0,keep min_tokens=max_tokens and ignore_eos
vLLM usage telemetry present for every request,PASS,0,restart vLLM with --enable-prompt-tokens-details
all output token counts equal requested fixed length,PASS,0,inspect server generation settings
