rep,cell_id,policy,bps_tier,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@low,exact_fifo,low,0.8761614867029798,43.65088677083327,64.35358600000006,0.0
0,exact_fifo@med,exact_fifo,med,0.8761614867029798,57.17543877083324,19.392949000000044,0.0
0,exact_fifo@high,exact_fifo,high,0.8761614867029798,60.708970604166666,60.332418000000075,0.0
0,local_topk@low,local_topk,low,0.8760012816404998,85.50757880208323,92.23509200000012,0.0
0,local_topk@med,local_topk,med,0.8760012816404998,63.5618634166666,21.083065000000033,0.0
0,local_topk@high,local_topk,high,0.8346683755206664,76.1198150729166,124.32276100000013,0.0
0,agg_static@low,agg_static,low,0.8761614867029798,97.87445159375,95.2040300000001,0.0
0,agg_static@med,agg_static,med,0.8761614867029798,136.25903047916665,218.81291899999997,0.0
0,agg_static@high,agg_static,high,0.8761614867029798,112.0323163541666,147.02329699999996,0.0
0,agg_adaptive@low,agg_adaptive,low,0.8761614867029798,88.75440602083324,62.137590000000046,0.0
0,agg_adaptive@med,agg_adaptive,med,0.8761614867029798,104.69504670833328,91.56553200000008,0.0
0,agg_adaptive@high,agg_adaptive,high,0.8761614867029798,147.6123421354166,206.97021600000016,0.0
1,exact_fifo@low,exact_fifo,low,0.9131306381556966,38.54186686458331,-72.44068099999981,0.0
1,exact_fifo@med,exact_fifo,med,0.9131306381556966,38.75412469791661,-63.099625999999944,0.0
1,exact_fifo@high,exact_fifo,high,0.9131306381556966,91.26613324999994,25.94896300000005,0.0
1,local_topk@low,local_topk,low,0.8914132976946207,83.60869790624997,59.71341700000016,0.0
1,local_topk@med,local_topk,med,0.8914132976946207,67.28248841666664,18.94848100000013,0.0
1,local_topk@high,local_topk,high,0.8700300701637154,106.10713031249998,67.47185800000011,0.0
1,agg_static@low,agg_static,low,0.9131306381556966,106.88927594791664,134.3314130000001,0.0
1,agg_static@med,agg_static,med,0.9131306381556966,119.65396568749998,213.9448550000002,0.0
1,agg_static@high,agg_static,high,0.9131306381556966,84.46307570833324,16.822811,0.0
1,agg_adaptive@low,agg_adaptive,low,0.9131306381556966,106.4939235833333,31.386912000000166,0.0
1,agg_adaptive@med,agg_adaptive,med,0.9131306381556966,156.6581361354166,220.56721300000004,0.0
1,agg_adaptive@high,agg_adaptive,high,0.9131306381556966,165.67828504166664,243.08735500000012,0.0
2,exact_fifo@low,exact_fifo,low,0.9542612113632303,83.3566778229166,129.86553200000003,0.0
2,exact_fifo@med,exact_fifo,med,0.9542612113632303,100.41163928125002,163.98517300000003,0.0
2,exact_fifo@high,exact_fifo,high,0.9542612113632303,117.86982844791669,309.45407899999987,0.0
2,local_topk@low,local_topk,low,0.9079864212971235,139.22179470833328,304.621261,0.0
2,local_topk@med,local_topk,med,0.9079864212971235,108.55444643750002,135.39149699999984,0.0
2,local_topk@high,local_topk,high,0.9079864212971235,135.61498578124997,328.1533179999999,0.0
2,agg_static@low,agg_static,low,0.9542612113632303,125.99248893749996,174.69779500000004,0.0
2,agg_static@med,agg_static,med,0.9542612113632303,122.63172417708336,301.292369,0.0
2,agg_static@high,agg_static,high,0.9542612113632303,152.73246024999992,442.584251,0.0
2,agg_adaptive@low,agg_adaptive,low,0.9542612113632303,121.19342806249995,219.8283449999999,0.0
2,agg_adaptive@med,agg_adaptive,med,0.9542612113632303,151.28955415625,393.11937799999987,0.0
2,agg_adaptive@high,agg_adaptive,high,0.9542612113632303,158.8997613125,310.82968000000005,0.0
3,exact_fifo@low,exact_fifo,low,0.9526508226691042,42.56373079166656,142.36317299999996,0.0
3,exact_fifo@med,exact_fifo,med,0.9526508226691042,15.021980749999898,-13.110476999999946,0.0
3,exact_fifo@high,exact_fifo,high,0.9526508226691042,24.62047618749989,51.20695099999989,0.0
3,local_topk@low,local_topk,low,0.8817184643510055,81.95836161458328,161.9651100000001,0.0
3,local_topk@med,local_topk,med,0.8817184643510055,61.21569632291664,20.334877000000006,0.0
3,local_topk@high,local_topk,high,0.8583180987202925,80.1137663229166,57.983343000000104,0.0
3,agg_static@low,agg_static,low,0.9526508226691042,10.63024562499993,-68.12832200000003,0.0
3,agg_static@med,agg_static,med,0.9526508226691042,30.93947060416656,-5.248704000000089,0.0
3,agg_static@high,agg_static,high,0.9526508226691042,55.1814277499999,198.327448,0.0
3,agg_adaptive@low,agg_adaptive,low,0.9526508226691042,53.58415749999995,215.30562200000008,0.0
3,agg_adaptive@med,agg_adaptive,med,0.9526508226691042,32.95769602083328,-8.845467999999983,0.0
3,agg_adaptive@high,agg_adaptive,high,0.9526508226691042,64.79565669791657,82.604781,0.0
