experiment_id,rep,cell_id,policy,request_id,trace_id,workload,phase,lineage_id,step,digest,reusable_prefix_tokens,selected_instance,advertised_owners,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,advertised_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,actual_reusable_coverage_tokens,validation_attempt,validation_result,fallback,stale_fallback,forced_owner_resets_before_request,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,12,reuse_intensive:rep0:req12,reuse_intensive,0,0,1,L0000,4096,2,0;1;2;3,False,1785002172.978518,4096,4096,4096,0.9205470085144043,False,False,False,False,4096,0.0,4,4,4128.0,False,cache_reused,False,False,0,0.0,98b3076399c32e0905dcd3e22f977f4167c8b18d528493f5c7094a5ce26d5d5f,True,,,1,0,114.386051,311.821519,6,4156,4,4128
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,13,reuse_intensive:rep0:req13,reuse_intensive,0,0,2,L0000,4096,0,0;1;2;3,False,1785002172.9785676,4096,4096,4096,16.343012809753418,False,False,False,False,4096,0.0,4,4,4128.0,False,cache_reused,False,False,0,0.0,6d1fbe274dcc0551e336cd7fb7defa4d11c622be451f09a351a354732dac55b9,True,,,1,0,118.160385,315.355263,6,4156,4,4128
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,14,reuse_intensive:rep0:req14,reuse_intensive,0,12,0,L0012,2048,1,0;1;2;3,False,1785002172.9786053,2048,2048,2048,5.044060945510864,False,False,False,False,2048,0.0,4,4,2080.0,False,cache_reused,False,False,0,0.0,d2b748b754f263a3781bd94624d5232692424e1cd988590b901f573ee708810c,True,,,1,0,69.529835,202.926256,6,2108,4,2080
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,15,reuse_intensive:rep0:req15,reuse_intensive,0,0,0,L0000,4096,3,0;1;2;3,False,1785002172.9786382,4096,4096,4096,1.868532419204712,False,False,False,False,4096,0.0,4,4,4128.0,False,cache_reused,False,False,0,0.0,385118021bc706c629bad30f8af9cb658db08f04e5ca9c02d9031e13a27a27ae,True,,,1,0,118.273533,316.655769,6,4156,4,4128
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,16,reuse_intensive:rep0:req16,reuse_intensive,1,75,0,L0075,1024,2,,False,1785002173.299101,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,e8de80bff09f317b8fa33b561c642572ec15ae854cb67e07932e8edefaa1a8d6,True,,,1,0,1684.068767,1785.558617,6,1084,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,17,reuse_intensive:rep0:req17,reuse_intensive,1,66,0,L0066,2048,1,,False,1785002173.299136,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,154273821d99152e21d008954714e09b006f5b1133930f6125b4ffdae033b84e,True,,,1,0,785.970232,917.181327,6,2108,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,18,reuse_intensive:rep0:req18,reuse_intensive,1,67,0,L0067,2048,0,,False,1785002173.2991605,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,6b98d76c10513a86ad829193be22dacb8db1381895c35f97a8e9e9832794a400,True,,,1,0,767.842456,898.741944,6,2108,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,19,reuse_intensive:rep0:req19,reuse_intensive,1,64,0,L0064,2048,3,,False,1785002173.2991796,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,c75c48c4eff292e377e1a8a6e6512dca376be00e33876aa0cd80db621ebaea2d,True,,,1,0,826.409268,957.953006,6,2108,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,20,reuse_intensive:rep0:req20,reuse_intensive,1,64,1,L0064,2048,3,3,True,1785002175.0856616,2048,2048,2048,0.00020074844360351562,False,False,False,False,2048,40.96,1,1,2080.0,True,cache_reused,False,False,0,0.0,4b6cb91f5c205d5f026dd95ce9325fc2007f35390f6d705a855818bc9c97455f,True,,,1,0,76.612354,206.27569,6,2108,4,2080
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,21,reuse_intensive:rep0:req21,reuse_intensive,1,73,0,L0073,2048,0,,False,1785002175.0856981,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,ca2249845c3ce11b4d65643263bb92991ddc7d6d7acda329c1bb1cedf1992625,True,,,1,0,2187.093067,2445.337064,6,2108,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,22,reuse_intensive:rep0:req22,reuse_intensive,1,67,1,L0067,2048,0,0,True,1785002175.0857344,2048,2048,2048,0.0004343986511230469,False,False,False,False,2048,38.96,1,1,2080.0,True,cache_reused,False,False,0,0.0,95f5d22ec19904b5ee61c00b2cb5969a96b960b13e47d3fc7663bb465682e243,True,,,1,0,2186.716448,2445.131307,6,2108,4,2080
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,23,reuse_intensive:rep0:req23,reuse_intensive,1,65,0,L0065,2048,2,,False,1785002175.0857596,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,d2cda86cab67253965083832d3bf4cc36978af7d5e1d12ea40d57a2a60af458d,True,,,1,0,788.581475,919.39072,6,2108,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,24,reuse_intensive:rep0:req24,reuse_intensive,1,69,0,L0069,1024,0,,False,1785002177.5333526,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,4ea8acdda4891ffde40b0c66c43fa39886816433e0a83937306ebe8632235347,True,,,1,0,1779.877593,1881.73425,6,1084,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,25,reuse_intensive:rep0:req25,reuse_intensive,1,84,0,L0084,1024,3,,False,1785002177.5333877,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,b5bae973c88bf9349e4a4fd6ade2b582f81015714afb6d005364df9b42e9afa8,True,,,1,0,1873.307513,1981.350109,6,1084,4,32
20260726_formal4t4_reuse_intensive_Ideal_rep0,0,Ideal,Ideal,26,reuse_intensive:rep0:req26,reuse_intensive,1,65,1,L0065,2048,2,2,True,1785002177.5334265,2048,2048,2048,0.0002727508544921875,False,False,False,False,2048,40.96,1,1,2080.0,True,cache_reused,False,False,0,0.0,7e4ef505c27e25990b3b524ab1d2e8c02248d6fe3d938bf739e464aa507778e5,True,,,1,0,77.538203,1718.749525,6,2108,4,2080
