experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,hardware,mode,policy,admission,K,oracle_uses_future_trace,J,net_benefit_guard_tokens,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,selected_affinity_rate,mean_reuse_coverage,saved_prefill_tokens_total,incremental_saved_prefill_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260716_agenttrace_frozen_sketch_lfu_k4_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,lfu,4,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.0026041666666666665,0.4591003214960193,106082.0,7778.0,4.0,4.0,1408
20260716_agenttrace_frozen_sketch_lfu_k8_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,lfu,8,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.0026041666666666665,0.4591003214960193,106082.0,7778.0,4.0,4.0,2432
20260716_agenttrace_frozen_sketch_lfu_k16_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,lfu,16,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.013020833333333334,0.46386789841212384,108912.0,10608.0,4.0,4.0,4480
20260716_agenttrace_frozen_sketch_lfu_k32_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,lfu,32,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.026041666666666668,0.4648335934985816,109634.0,11330.0,4.0,4.0,8256
20260716_agenttrace_frozen_sketch_lfu_k64_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,lfu,64,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.026041666666666668,0.4648335934985816,109634.0,11330.0,4.0,4.0,10368
20260716_agenttrace_frozen_sketch_lfu_k128_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,lfu,128,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.026041666666666668,0.4648335934985816,109634.0,11330.0,4.0,4.0,10368
20260716_agenttrace_frozen_sketch_coverage_first_k2_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,coverage_first,2,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.015625,0.4602675641872176,107125.0,8821.0,0.0,0.0,896
20260716_agenttrace_frozen_sketch_coverage_first_k4_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,coverage_first,4,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.026041666666666668,0.4654360757179648,110578.0,12274.0,1.0,1.0,1408
20260716_agenttrace_frozen_sketch_coverage_first_k8_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,coverage_first,8,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.026041666666666668,0.46332353873459253,109471.0,11167.0,1.0,1.0,2432
20260716_agenttrace_frozen_sketch_coverage_first_k16_rep0,agenttrace_admission_oracle_v4,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,CPU-only; no live vLLM request,frozen,sketch,coverage_first,16,False,4,512,0,10,20260716,46774ef2fcdb3afa3da9c0656dec5344d9f461e6aba5140bfc36555fa8ec6218,512,128,128,structural agent-turn replay; Oracle-K is offline diagnosis only; no raw source text and no live latency.,Current,384,0.026041666666666668,0.4646307479234897,110656.0,12352.0,1.0,1.0,4480
